#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676376859        0.771988          0.771988          0.016789          0.016789          0.000000          121.547000        0.016789         
1676376869        0.771988          0.771988          0.017258          0.017258          0.000000          115.812000        0.017258         
1676376880        0.771988          0.771988          0.017261          0.017261          0.000000          110.352000        0.017261         
1676376890        0.771988          0.771988          0.017261          0.017261          0.000000          105.032000        0.017261         
1676376900        0.771988          0.771988          0.017261          0.017261          0.000000          99.553100         0.017261         
1676376910        0.771988          0.771988          0.017261          0.017261          0.000000          93.757600         0.017261         
1676376921        0.771988          0.771988          0.017261          0.017261          0.000000          88.029100         0.017261         
1676376931        0.771988          0.771988          0.017261          0.017261          0.000000          82.177100         0.017261         
1676376941        0.771988          0.771988          0.017261          0.017261          0.000000          76.383500         0.017261         
1676376952        0.771988          0.771988          0.017261          0.017261          0.000000          70.480600         0.017261         
1676376962        0.771988          0.771988          0.017265          0.017265          0.000000          64.871400         0.017265         
1676376972        0.771988          0.771988          0.017265          0.017265          0.000000          59.496300         0.017265         
1676376982        0.771988          0.771988          0.017265          0.017265          0.000000          53.960800         0.017265         
1676376993        0.771988          0.771988          0.017265          0.017265          0.000000          48.255900         0.017265         
1676377003        0.771988          0.771988          0.017265          0.017265          0.000000          42.807100         0.017265         
1676377013        0.771988          0.771988          0.017265          0.017265          0.000000          37.146100         0.017265         
1676377024        0.771988          0.771988          0.017265          0.017265          0.000000          31.364500         0.017265         
1676377034        0.771988          0.771988          0.017265          0.017265          0.000000          26.089700         0.017265         
1676377044        0.771988          0.771988          0.017265          0.017265          0.000000          20.645200         0.017265         
1676377054        0.771988          0.771988          0.017265          0.017265          0.000000          15.145600         0.017265         
1676377065        0.771988          0.771988          0.017265          0.017265          0.000000          9.313400          0.017265         
1676377075        0.771988          0.771988          0.017269          0.017269          0.000000          3.718290          0.017269         
1676377086        0.771988          0.771988          0.017269          0.017269          0.000000          0.858547          0.017269         
1676377097        0.771988          0.771988          0.017269          0.017269          0.000000          0.734173          0.017269         
1676377108        0.771988          0.771988          0.017269          0.017269          0.000000          0.848221          0.017269         
1676377118        0.771988          0.771988          0.017269          0.017269          0.000000          0.764214          0.017269         
1676377128        0.771988          0.771988          0.017269          0.017269          0.000000          0.609940          0.017269         
1676377139        0.771988          0.771988          0.017269          0.017269          0.000000          2.901230          0.017269         
1676377149        0.771988          0.771988          0.017269          0.017269          0.000000          2.162850          0.017269         
1676377159        0.771988          0.771988          0.017269          0.017269          0.000000          2.917720          0.017269         
1676377170        0.771988          0.771988          0.017269          0.017269          0.000000          5.043910          0.017269         
1676377180        0.771988          0.771988          0.017269          0.017269          0.000000          6.297960          0.017269         
1676377190        0.771988          0.771988          0.017269          0.017269          0.000000          2.522490          0.017269         
1676377201        0.771988          0.771988          0.017273          0.017273          0.000000          1.773440          0.017273         
1676377211        0.771988          0.771988          0.017273          0.017273          0.000000          4.089340          0.017273         
1676377221        0.771988          0.771988          0.017273          0.017273          0.000000          0.917221          0.017273         
1676377231        0.771988          0.771988          0.017273          0.017273          0.000000          1.449130          0.017273         
1676377242        0.771988          0.413414          0.017273          0.013355          0.000000          0.755699          0.017273         
1676377252        1.022250          1.022250          0.028034          0.028034          0.000000          0.696934          0.028034         
1676377262        1.022250          0.828449          0.031380          0.031380          0.000000          0.680191          0.031380         
