#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676376859 75089273 63516810 16354226 13305116 12235981 12154897 52117 64031 61711.30 62720.54 2421.84 1790.88
1676376869 75089276 63516810 16354226 13305116 12240802 12156132 52117 64031 57027.52 61547.24 7106.56 2962.77
1676376880 75089280 63516810 16354226 13305116 12242695 12159995 52117 64031 55204.35 57781.14 8929.34 6727.15
1676376890 75089283 63516810 16354226 13305116 12247950 12160359 52117 64031 50057.87 57476.57 14078.71 7031.46
1676376900 75089285 63516810 16354226 13305116 12249080 12165025 52117 64031 48992.76 52904.68 15140.89 11611.47
1676376910 75089287 63516810 16354226 13305116 12252731 12167489 52117 64031 45415.39 50542.85 18721.21 13966.16
1676376921 75089288 63516810 16354226 13305116 12258684 12167584 52117 64031 39583.54 50542.50 24552.04 13967.11
1676376931 75089291 63516810 16354226 13305116 12261265 12171180 52117 64031 37108.12 47019.54 27025.48 17489.58
1676376941 75089293 63516810 16354226 13305116 12261340 12177244 52117 64031 37104.49 41063.88 27030.80 23448.00
1676376952 75089294 63516810 16354226 13305116 12262401 12182391 52117 64031 36126.55 36029.05 28010.50 28479.47
1676376962 75089295 63516810 16354226 13305116 12264668 12186061 52117 64031 33912.97 32484.55 30223.63 32025.00
1676376972 75089299 63516810 16354226 13305116 12267250 12189156 52117 64031 31383.22 29497.58 32758.71 35011.38
1676376982 75089301 63516810 16354226 13305116 12270835 12191408 52117 64031 27922.16 27331.68 36211.61 37177.35
1676376993 75089304 63516810 16354226 13305116 12271775 12196500 52117 64031 27064.22 22333.92 37069.95 42178.53
1676377003 75089306 63516810 16354226 13305116 12271858 12202165 52117 64031 27060.01 16756.99 37075.26 47754.42
1676377013 75089307 63516810 16354226 13305116 12274438 12205573 52117 64031 24585.04 13436.17 39551.52 51073.36
1676377024 75089309 63516810 16354226 13305116 12277525 12208593 52117 64031 21590.83 10478.07 42543.34 54033.84
1676377034 75089310 63516810 16354226 13305116 12279925 12211779 52117 64031 19285.03 7402.36 44851.54 57106.14
1676377044 75089311 63516810 16354226 13305116 12283669 12213779 52117 64031 15614.77 5500.38 48547.64 59009.68
1676377055 75089311 63516810 16354226 13305116 12286653 12216607 52117 64031 12710.32 2781.24 51423.93 61749.96
1676377065 75089312 63516810 16354226 13305116 12291207 12218206 52117 64031 8302.04 1225.27 55832.60 63286.12
1676377075 75089313 63516810 16354226 13776321 12294184 12219317 53953 64031 3624.34 160.36 60514.32 64348.56
1676377087 75089313 63516810 16477835 14039850 12298313 12220386 54965 64514 681.66 195.77 63481.04 64316.79
1676377098 75089314 63516810 16711298 14139874 12301760 12222049 55378 65423 539.27 180.00 63590.19 64340.14
1676377108 75089314 63516810 16849845 14332254 12304425 12224154 56129 65967 536.35 318.83 63607.74 64191.17
1676377118 75089315 63516810 17281332 14332364 12307962 12224312 56129 67653 548.02 206.55 63585.73 64301.42
