TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1676376859        4631278          89544893627       8551523927       17042591          1449761955411    18557446784       11411470         1386547877661     1742851674577    190328            144417040322     0                 379828           83886080          0                
1676376869        4631588          89544911347       8551534404       17042591          1449761955411    18557446784       11411528         1389397268884     1742851674577    190328            144417040322     0                 379828           83886080          0                
1676376880        4631894          89544929069       8551544881       17042591          1449761955411    18557446784       11411582         1392123148957     1742851674577    190328            144417040322     0                 379828           83886080          0                
1676376890        4632203          89544946791       8551555359       17042591          1449761955411    18557446784       11411632         1394774901766     1742851674577    190328            144417040322     0                 379828           83886080          0                
1676376900        4632511          89544964525       8551565844       17042595          1449761955411    18557446784       11411689         1397501302186     1742851674577    190330            144417040322     0                 379832           83886080          0                
1676376911        4632818          89544982251       8551576326       17042595          1449761955411    18557446784       11411745         1400387045894     1742851674577    190330            144417040322     0                 379832           83886080          0                
1676376921        4633126          89544999977       8551586808       17042599          1449761955411    18557446784       11411804         1403232771613     1742851674577    190332            144417040322     0                 379836           83886080          0                
1676376931        4633433          89545017705       8551597292       17042599          1449761955411    18557446784       11411862         1406147398403     1742851674577    190332            144417040322     0                 379836           83886080          0                
1676376941        4633741          89545035435       8551607775       17042603          1449761955411    18557446784       11411919         1409035779149     1742851674577    190334            144417040322     0                 379840           83886080          0                
1676376952        4634048          89545053167       8551618260       17042603          1449761955411    18557446784       11411977         1411968544820     1742851674577    190334            144417040322     0                 379840           83886080          0                
1676376962        4634355          89545070899       8551628745       17042603          1449761955411    18557446784       11412033         1414759193750     1742851674577    190334            144417040322     0                 379840           83886080          0                
1676376972        4634661          89545088639       8551639233       17042607          1449761955411    18557446784       11412088         1417433666674     1742851674577    190336            144417040322     0                 379844           83886080          0                
1676376983        4634970          89545106379       8551649720       17042607          1449761955411    18557446784       11412142         1420163367000     1742851674577    190336            144417040322     0                 379844           83886080          0                
1676376993        4635278          89545124113       8551660205       17042611          1449761955411    18557446784       11412199         1423034245395     1742851674577    190338            144417040322     0                 379848           83886080          0                
1676377003        4635586          89545141847       8551670690       17042611          1449761955411    18557446784       11412253         1425731770347     1742851674577    190338            144417040322     0                 379848           83886080          0                
1676377013        4635893          89545159581       8551681175       17042611          1449761955411    18557446784       11412311         1428562422464     1742851674577    190338            144417040322     0                 379848           83886080          0                
1676377024        4636201          89545177315       8551691661       17042615          1449761955411    18557446784       11412368         1431438172486     1742851674577    190340            144417040322     0                 379852           83886080          0                
1676377034        4636508          89545195049       8551702146       17042615          1449761955411    18557446784       11412420         1434061250278     1742851674577    190340            144417040322     0                 379852           83886080          0                
1676377044        4636817          89545212791       8551712633       17042619          1449761955411    18557446784       11412475         1436772956653     1742851674577    190342            144417040322     0                 379856           83886080          0                
1676377055        4637124          89545230525       8551723119       17042619          1449761955411    18557446784       11412529         1439500183203     1742851674577    190342            144417040322     0                 379856           83886080          0                
1676377065        4637431          89545248265       8551733605       17042619          1449761955411    18557446784       11412587         1442408539157     1742851674577    190342            144417040322     0                 379856           83886080          0                
1676377075        4637739          89545265999       8551744089       17042623          1449761955411    18557446784       11412642         1445191775362     1742851674577    190344            144417040322     0                 379860           83886080          0                
1676377087        4638046          89545283733       8551754572       17042623          1449761955411    18557446784       11412708         1448454963360     1742851674577    190344            144417040322     0                 379860           83886080          0                
1676377098        4638354          89545301475       8551765057       17042627          1449761955411    18557446784       11412767         1451403599608     1742851674577    190346            144417040322     0                 379864           83886080          0                
1676377108        4638661          89545319209       8551775540       17042627          1449761955411    18557446784       11412825         1454269976399     1742851674577    190346            144417040322     0                 379864           83886080          0                
1676377118        4638970          89545336943       8551786022       17042631          1449761955411    18557446784       11412876         1456808404465     1742851674577    190348            144417040322     0                 379868           83886080          0                
1676377129        4639277          89545354685       8551796508       17042631          1449761955411    18557446784       11412932         1459644901280     1742851674577    190348            144417040322     0                 379868           83886080          0                
1676377139        4639584          89545372419       8551806990       17042631          1449761955411    18557446784       11412988         1462448554088     1742851674577    190348            144417040322     0                 379868           83886080          0                
1676377149        4639892          89545390153       8551817474       17042635          1449761955411    18557446784       11413043         1465202474111     1742851674577    190350            144417040322     0                 379872           83886080          0                
1676377159        4640199          89545407893       8551827959       17042635          1449761955411    18557446784       11413099         1467940715646     1742851674577    190350            144417040322     0                 379872           83886080          0                
1676377170        4640507          89545425629       8551838442       17042639          1449761955411    18557446784       11413156         1470764235744     1742851674577    190352            144417040322     0                 379876           83886080          0                
1676377180        4640814          89545443371       8551848929       17042639          1449761955411    18557446784       11413212         1473628052064     1742851674577    190352            144417040322     0                 379876           83886080          0                
1676377190        4641121          89545461105       8551859411       17042639          1449761955411    18557446784       11413262         1476173890565     1742851674577    190352            144417040322     0                 379876           83886080          0                
1676377201        4641429          89545478841       8551869894       17042643          1449761955411    18557446784       11413319         1478981797268     1742851674577    190354            144417040322     0                 379880           83886080          0                
1676377211        4641736          89545496585       8551880381       17042643          1449761955411    18557446784       11413375         1481761725860     1742851674577    190354            144417040322     0                 379880           83886080          0                
1676377221        4642043          89545514321       8551890863       17042647          1449761955411    18557446784       11413430         1484532339081     1742851674577    190356            144417040322     0                 379884           83886080          0                
1676377232        4642351          89545532059       8551901342       17042647          1449761955411    18557446784       11413480         1487057063551     1742851674577    190356            144417040322     0                 379884           83886080          0                
1676377242        4642668          89545547301       8551909294       17042651          1449761955411    18557446784       11413550         1489493286353     1742851674577    190358            144417040322     0                 379888           83886080          0                
1676377252        4643262          89545601312       8551923600       17042652          1449761955411    18557446784       11413551         1489493286353     1742851674577    190358            144417040322     0                 379888           83886080          0                
1676377262        4644457          89546079422       8552063150       17042652          1449761955411    18557446784       11413551         1489493286353     1742851674577    190358            144417040322     0                 379888           83886080          0                
1676377273        4644906          89546289732       8552081232       17042655          1449761955411    18557446784       11413552         1489493286353     1742851674577    190360            144417040322     0                 379892           83886080          0                
1676377283        4645530          89546937218       8552099314       17042655          1449761955411    18557446784       11413552         1489493286353     1742851674577    190360            144417040322     0                 379892           83886080          0                
1676377293        4647155          89548819770       8552117395       17042659          1449761955411    18557446784       11413554         1489493286353     1742851674577    190362            144417040322     0                 379896           83886080          0                
1676377304        4648782          89552884595       8552135481       17042659          1449761955411    18557446784       11413554         1489493286353     1742851674577    190362            144417040322     0                 379896           83886080          0                
1676377314        4653156          89570895537       8552153565       17042659          1449761955411    18557446784       11413554         1489493286353     1742851674577    190362            144417040322     0                 379896           83886080          0                
1676377324        4660382          89579906914       8552171652       17042663          1449761955411    18557446784       11413556         1489493286353     1742851674577    190364            144417040322     0                 379900           83886080          0                
1676377335        4663890          89588328664       8552189739       17042663          1449761955411    18557446784       11413556         1489493286353     1742851674577    190364            144417040322     0                 379900           83886080          0                
1676377345        4666264          89590637337       8552223238       17042667          1449761955411    18557446784       11413574         1489493286353     1742851674577    190366            144417040322     0                 379904           83886080          0                
1676377355        4666594          89590670327       8552241346       17042667          1449761955411    18557446784       11413574         1489493286353     1742851674577    190366            144417040322     0                 379904           83886080          0                
1676377365        4666919          89590703319       8552259454       17042667          1449761955411    18557446784       11413574         1489493286353     1742851674577    190366            144417040322     0                 379904           83886080          0                
1676377376        4667244          89590736313       8552277564       17042671          1449761955411    18557446784       11413575         1489493286353     1742851674577    190368            144417040322     0                 379908           83886080          0                
1676377386        4667569          89590769307       8552295673       17042671          1449761955411    18557446784       11413575         1489493286353     1742851674577    190368            144417040322     0                 379908           83886080          0                
1676377396        4667893          89590802303       8552313784       17042675          1449761955411    18557446784       11413577         1489493286353     1742851674577    190370            144417040322     0                 379912           83886080          0                
1676377407        4668220          89590835299       8552331894       17042675          1449761955411    18557446784       11413577         1489493286353     1742851674577    190370            144417040322     0                 379912           83886080          0                
1676377417        4668546          89590868295       8552350005       17042679          1449761955411    18557446784       11413579         1489493286353     1742851674577    190372            144417040322     0                 379916           83886080          0                
1676377427        4668871          89590901291       8552368115       17042679          1449761955411    18557446784       11413579         1489493286353     1742851674577    190372            144417040322     0                 379916           83886080          0                
1676377438        4669196          89590934287       8552386225       17042679          1449761955411    18557446784       11413579         1489493286353     1742851674577    190372            144417040322     0                 379916           83886080          0                
1676377448        4669526          89591384978       8552404336       17042683          1449761955411    18557446784       11413581         1489493286353     1742851674577    190374            144417040322     0                 379920           83886080          0                
1676377458        4669851          89591417974       8552422446       17042683          1449761955411    18557446784       11413581         1489493286353     1742851674577    190374            144417040322     0                 379920           83886080          0                
1676377469        4670178          89591450970       8552440556       17042687          1449761955411    18557446784       11413583         1489493286353     1742851674577    190376            144417040322     0                 379924           83886080          0                
1676377479        4670503          89591483966       8552458666       17042687          1449761955411    18557446784       11413583         1489493286353     1742851674577    190376            144417040322     0                 379924           83886080          0                
1676377489        4670828          89591516962       8552476776       17042687          1449761955411    18557446784       11413583         1489493286353     1742851674577    190376            144417040322     0                 379924           83886080          0                
1676377499        4671154          89591549958       8552494886       17042691          1449761955411    18557446784       11413585         1489493286353     1742851674577    190378            144417040322     0                 379928           83886080          0                
1676377510        4671479          89591582952       8552512996       17042691          1449761955411    18557446784       11413585         1489493286353     1742851674577    190378            144417040322     0                 379928           83886080          0                
1676377520        4671805          89591615948       8552531106       17042695          1449761955411    18557446784       11413587         1489493286353     1742851674577    190380            144417040322     0                 379932           83886080          0                
1676377530        4672130          89591648944       8552549216       17042695          1449761955411    18557446784       11413587         1489493286353     1742851674577    190380            144417040322     0                 379932           83886080          0                
1676377541        4672455          89591681940       8552567326       17042695          1449761955411    18557446784       11413587         1489493286353     1742851674577    190380            144417040322     0                 379932           83886080          0                
