time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676376859        0                 275               0                 75908788          77590672          0                 6                 1796419204564     921777920901      0                 1344             
1676376869        0                 275               0                 75912137          77594018          0                 6                 1796419566431     924600373522      0                 1344             
1676376880        0                 275               0                 75915386          77597267          0                 6                 1796419917569     927343003587      0                 1344             
1676376890        0                 275               0                 75918527          77600407          0                 6                 1796420264891     929984115458      0                 1344             
1676376900        0                 275               0                 75921868          77603747          0                 6                 1796420637220     932735530280      0                 1344             
1676376911        0                 275               0                 75925275          77607151          0                 6                 1796421003315     935625445876      0                 1344             
1676376921        0                 275               0                 75928704          77610581          0                 6                 1796421386733     938453601307      0                 1344             
1676376931        0                 275               0                 75932128          77614004          0                 6                 1796421757147     941360604897      0                 1344             
1676376941        0                 275               0                 75935645          77617521          0                 6                 1796422144326     944283677655      0                 1344             
1676376952        0                 275               0                 75939061          77620936          0                 6                 1796422512060     947184404490      0                 1344             
1676376962        0                 275               0                 75942380          77624254          0                 6                 1796422875469     949989404773      0                 1344             
1676376972        0                 275               0                 75945655          77627528          0                 6                 1796423255101     952672757656      0                 1344             
1676376983        0                 275               0                 75948861          77630731          0                 6                 1796423617631     955369136238      0                 1344             
1676376993        0                 275               0                 75952339          77634209          0                 6                 1796424011327     958241278508      0                 1344             
1676377003        0                 275               0                 75955562          77637433          0                 6                 1796424374793     960959327352      0                 1344             
1676377013        0                 275               0                 75958898          77640768          0                 6                 1796424745101     963785434094      0                 1344             
1676377024        0                 275               0                 75962397          77644266          0                 6                 1796425140363     966679312123      0                 1344             
1676377034        0                 275               0                 75965501          77647370          0                 6                 1796425494412     969287264196      0                 1344             
1676377044        0                 275               0                 75968833          77650702          0                 6                 1796425876731     972028472006      0                 1344             
1676377055        0                 275               0                 75972059          77653927          0                 6                 1796426238902     974751823353      0                 1344             
1676377065        0                 275               0                 75975475          77657342          0                 6                 1796426612759     977649799075      0                 1344             
1676377075        0                 275               0                 75978840          77660706          0                 6                 1796426998645     980423624655      0                 1344             
1676377087        0                 275               0                 75982639          77664504          0                 6                 1796427401940     983675772472      0                 1344             
1676377098        0                 275               0                 75986234          77668097          0                 6                 1796427809639     986649592173      0                 1344             
1676377108        0                 275               0                 75989610          77671475          0                 6                 1796428189508     989494735775      0                 1344             
1676377118        0                 275               0                 75992733          77674598          0                 6                 1796428567921     992025826796      0                 1344             
1676377129        0                 275               0                 75996128          77677992          0                 6                 1796428945761     994887749813      0                 1344             
1676377139        0                 275               0                 75999456          77681319          0                 6                 1796429321132     997691660998      0                 1344             
1676377149        0                 275               0                 76002790          77684655          0                 6                 1796429711822     1000420798118     0                 1344             
1676377160        0                 275               0                 76006054          77687918          0                 6                 1796430082124     1003167565981     0                 1344             
1676377170        0                 275               0                 76009507          77691371          0                 6                 1796430473935     1006008136335     0                 1344             
1676377180        0                 275               0                 76012907          77694771          0                 6                 1796430851748     1008882432166     0                 1344             
1676377190        0                 275               0                 76015933          77697796          0                 6                 1796431203773     1011406688939     0                 1344             
1676377201        0                 275               0                 76019354          77701216          0                 6                 1796431594734     1014222690477     0                 1344             
1676377211        0                 275               0                 76022649          77704509          0                 6                 1796431969042     1016989861334     0                 1344             
1676377221        0                 275               0                 76026045          77707906          0                 6                 1796432361321     1019779324136     0                 1344             
1676377232        0                 275               0                 76029074          77710936          0                 6                 1796432722239     1022298814826     0                 1344             
1676377242        0                 275               0                 76032194          77714057          0                 6                 1796433140302     1024705462216     0                 1344             
1676377252        0                 275               0                 76032911          77714773          0                 6                 1796433549852     1024705874059     0                 1344             
1676377262        0                 275               0                 76034481          77716260          0                 6                 1796434512318     1024706615877     0                 1344             
1676377273        0                 275               0                 76035115          77716893          0                 6                 1796434838786     1024707006488     0                 1344             
1676377283        0                 275               0                 76036029          77717805          0                 6                 1796435348224     1024708072198     0                 1344             
1676377293        1                 275               0                 76043250          77725025          0                 6                 1796438086007     1024769300792     0                 1344             
1676377304        0                 275               0                 76055941          77737716          0                 6                 1796442504597     1025100905697     0                 1344             
1676377314        0                 275               0                 76065464          77747238          0                 6                 1796447104906     1025164533900     0                 1344             
1676377324        0                 275               0                 76078137          77759910          0                 6                 1796453689286     1025215211360     0                 1344             
