#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676375398        0.970161          0.970161          0.025551          0.025551          0.000000          23.767100         0.025551         
1676375408        0.970161          0.524422          0.025551          0.015209          0.000000          23.760800         0.025551         
1676375418        1.120640          1.120640          0.047592          0.047592          0.000000          23.740800         0.047592         
1676375428        2.185180          2.185180          0.201515          0.201515          0.000000          23.550000         0.201515         
1676375439        2.284000          2.284000          0.259865          0.259865          0.000000          23.302800         0.259865         
1676375449        2.392860          2.392860          0.294189          0.294189          0.000000          23.200700         0.294189         
1676375459        37.079900         37.079900         1.661660          1.661660          0.000000          21.744300         1.661660         
1676375470        98.270200         98.270200         3.500120          3.500120          0.000000          19.902100         3.500120         
1676375480        98.276300         98.276300         3.510350          3.510350          0.000000          19.891100         3.510350         
1676375490        98.280900         98.280900         3.520430          3.520430          0.000000          19.880100         3.520430         
1676375501        98.286900         98.286900         3.539310          3.539310          0.000000          19.863800         3.539310         
1676375511        98.292400         98.292400         3.556020          3.556020          0.000000          19.844100         3.556020         
1676375521        98.294900         98.294900         3.566650          3.566650          0.000000          19.836100         3.566650         
1676375531        98.299500         98.299500         3.578000          3.578000          0.000000          19.823800         3.578000         
1676375542        98.302500         98.302500         3.588410          3.588410          0.000000          19.813900         3.588410         
1676375552        98.344100         98.344100         3.660440          3.660440          0.000000          19.738100         3.660440         
1676375563        98.350800         98.350800         3.711790          3.711790          0.000000          19.687200         3.711790         
1676375573        98.387100         98.387100         3.744670          3.744670          0.000000          19.654000         3.744670         
1676375583        98.396900         98.396900         3.757790          3.757790          0.000000          19.634700         3.757790         
1676375594        98.396900         98.396900         3.759220          3.759220          0.000000          19.633300         3.759220         
1676375604        98.396900         98.396900         3.759570          3.759570          0.000000          19.632900         3.759570         
1676375614        98.396900         98.396900         3.766980          3.766980          0.000000          19.625800         3.766980         
1676375624        98.396900         98.396900         3.776070          3.776070          0.000000          19.617300         3.776070         
1676375635        98.402600         98.402600         3.805300          3.805300          0.000000          19.590800         3.805300         
1676375645        98.436200         98.436200         3.863120          3.863120          0.000000          19.531100         3.863120         
1676375655        98.436200         98.436200         3.863120          3.863120          0.000000          19.530100         3.863120         
1676375666        98.436200         98.436200         3.863120          3.863120          0.000000          19.528900         3.863120         
1676375676        98.436200         98.436200         3.863120          3.863120          0.000000          19.530200         3.863120         
1676375686        98.436200         98.436200         3.863130          3.863130          0.000000          19.530900         3.863130         
1676375697        98.436200         98.436200         3.863130          3.863130          0.000000          19.528700         3.863130         
1676375707        98.436200         98.436200         3.863130          3.863130          0.000000          19.528300         3.863130         
1676375718        98.436200         98.436200         3.863130          3.863130          0.000000          19.530700         3.863130         
1676375728        98.436200         98.436200         3.863130          3.863130          0.000000          19.529900         3.863130         
1676375738        98.436200         98.436200         3.863130          3.863130          0.000000          19.527600         3.863130         
1676375749        98.436200         98.436200         3.863130          3.863130          0.000000          19.530200         3.863130         
1676375759        98.436200         98.436200         3.863130          3.863130          0.000000          19.531100         3.863130         
1676375769        98.436200         98.436200         3.863140          3.863140          0.000000          19.531000         3.863140         
1676375780        98.436200         98.436200         3.863140          3.863140          0.000000          19.531400         3.863140         
1676375790        98.436200         98.436200         3.863140          3.863140          0.000000          19.530000         3.863140         
1676375800        98.436200         98.436200         3.863140          3.863140          0.000000          19.529500         3.863140         
1676375811        98.436200         98.436200         3.863140          3.863140          0.000000          19.529900         3.863140         
1676375821        98.436200         98.436200         3.863140          3.863140          0.000000          19.530000         3.863140         
1676375831        98.436200         98.436200         3.863140          3.863140          0.000000          19.529600         3.863140         
1676375842        98.436200         98.436200         3.863140          3.863140          0.000000          19.529500         3.863140         
1676375852        98.436200         98.436200         3.863140          3.863140          0.000000          19.531700         3.863140         
1676375862        98.436200         98.436200         3.863140          3.863140          0.000000          19.529300         3.863140         
1676375873        98.436200         98.436200         3.863140          3.863140          0.000000          19.531500         3.863140         
1676375883        98.436200         98.436200         3.863140          3.863140          0.000000          19.529100         3.863140         
1676375893        98.436200         98.436200         3.863140          3.863140          0.000000          19.530300         3.863140         
1676375903        98.436200         98.436200         3.863140          3.863140          0.000000          19.531200         3.863140         
1676375914        98.436200         98.436200         3.863140          3.863140          0.000000          19.532900         3.863140         
1676375924        98.436200         98.436200         3.863140          3.863140          0.000000          19.532000         3.863140         
1676375934        98.436200         98.436200         3.863140          3.863140          0.000000          19.530000         3.863140         
1676375945        98.436200         98.436200         3.863140          3.863140          0.000000          19.530600         3.863140         
1676375955        98.530400         98.530400         3.966300          3.966300          0.000000          19.427800         3.966300         
1676375965        98.674400         98.674400         4.121880          4.121880          0.000000          19.270900         4.121880         
1676375976        105.653000        105.653000        10.523500         10.523500         0.000000          12.884200         10.523500        
1676375986        109.193000        109.193000        12.129500         12.129500         0.000000          11.372700         12.129500        
1676375996        109.193000        109.193000        12.129600         12.129600         0.000000          11.371800         12.129600        
1676376007        109.193000        109.193000        12.129600         12.129600         0.000000          11.369200         12.129600        
1676376017        109.193000        109.193000        12.129600         12.129600         0.000000          11.371700         12.129600        
1676376027        109.193000        109.193000        12.129600         12.129600         0.000000          11.371500         12.129600        
1676376038        109.193000        109.193000        12.129600         12.129600         0.000000          11.370500         12.129600        
1676376048        109.193000        109.193000        12.129600         12.129600         0.000000          11.372900         12.129600        
1676376058        109.193000        109.193000        12.129600         12.129600         0.000000          11.372400         12.129600        
1676376068        109.193000        109.193000        12.129600         12.129600         0.000000          11.373200         12.129600        
1676376079        109.193000        109.193000        12.129600         12.129600         0.000000          11.371200         12.129600        
1676376089        109.193000        109.193000        12.129600         12.129600         0.000000          11.374000         12.129600        
1676376099        109.193000        109.193000        12.129600         12.129600         0.000000          11.373800         12.129600        
1676376110        109.193000        109.193000        12.129600         12.129600         0.000000          11.374800         12.129600        
1676376120        109.193000        109.193000        12.129600         12.129600         0.000000          11.374800         12.129600        
1676376130        109.193000        109.193000        12.129600         12.129600         0.000000          11.373000         12.129600        
1676376141        109.193000        109.193000        12.129600         12.129600         0.000000          11.373800         12.129600        
1676376151        109.193000        109.193000        12.129600         12.129600         0.000000          11.374200         12.129600        
1676376161        109.193000        109.193000        12.129600         12.129600         0.000000          11.372900         12.129600        
1676376172        109.193000        109.193000        12.129600         12.129600         0.000000          11.373100         12.129600        
1676376182        109.193000        109.193000        12.129600         12.129600         0.000000          11.372900         12.129600        
1676376192        109.193000        109.193000        12.129600         12.129600         0.000000          11.372800         12.129600        
1676376203        109.193000        109.193000        12.129600         12.129600         0.000000          11.373800         12.129600        
1676376213        109.193000        109.193000        12.129600         12.129600         0.000000          11.372700         12.129600        
1676376223        109.193000        109.193000        12.129600         12.129600         0.000000          11.375400         12.129600        
1676376234        109.193000        109.193000        12.129600         12.129600         0.000000          11.372800         12.129600        
1676376244        109.193000        109.193000        12.129600         12.129600         0.000000          11.372300         12.129600        
1676376254        109.193000        109.193000        12.129600         12.129600         0.000000          11.373800         12.129600        
