time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676375397        0                 260               0                 40511284          41623924          0                 0                 1973556310363     787209043550      0                 0                
1676375407        0                 260               0                 40515507          41628067          0                 0                 1973558541824     787210833246      0                 0                
1676375418        0                 260               0                 40516425          41628948          0                 0                 1973559152488     787211208570      0                 0                
1676375428        0                 260               0                 40527784          41640305          0                 0                 1973563363279     787337077262      0                 0                
1676375438        0                 260               0                 40535956          41648477          0                 0                 1973566924290     787395243803      0                 0                
1676375449        0                 260               0                 40545548          41658069          0                 0                 1973571279116     787436100020      0                 0                
1676375459        0                 260               0                 40552249          41664769          0                 0                 1973574272455     787472842424      0                 0                
1676375473        0                 260               0                 40552816          41665335          0                 0                 1973574600718     787473058062      0                 0                
1676375489        0                 260               0                 40553245          41665763          0                 0                 1973574879417     787473220774      0                 0                
1676375507        0                 260               0                 40553787          41666305          0                 0                 1973575195905     787473405502      0                 0                
1676375527        0                 260               0                 40554321          41666838          0                 0                 1973575498979     787473588374      0                 0                
1676375548        0                 260               0                 40554864          41667380          0                 0                 1973575815078     787473773134      0                 0                
1676375568        0                 260               0                 40555397          41667912          0                 0                 1973576117465     787473955782      0                 0                
1676375593        0                 260               0                 40555955          41668469          0                 0                 1973576439640     787474561341      0                 0                
1676375622        0                 260               0                 40556495          41669008          0                 0                 1973576745650     787474744725      0                 0                
1676375651        0                 260               0                 40557037          41669551          0                 0                 1973577068164     787474929677      0                 0                
1676375676        0                 260               0                 40557571          41670084          0                 0                 1973577366394     787475111741      0                 0                
1676375709        0                 260               0                 40558118          41670630          0                 0                 1973577687202     787475297405      0                 0                
1676375739        0                 260               0                 40558659          41671170          0                 0                 1973577992534     787475480981      0                 0                
1676375770        0                 260               0                 40559308          41671819          0                 0                 1973578337317     787475686285      0                 0                
1676375798        0                 260               0                 40559845          41672355          0                 0                 1973578638980     787475869061      0                 0                
1676375825        0                 260               0                 40560386          41672896          0                 0                 1973578955070     787476053597      0                 0                
1676375854        0                 260               0                 40560919          41673428          0                 0                 1973579257740     787476236245      0                 0                
1676375885        0                 260               0                 40561470          41673979          0                 0                 1973579584406     787476422125      0                 0                
1676375915        0                 260               0                 40562108          41674616          0                 0                 1973579910265     787476624933      0                 0                
1676375949        0                 260               0                 40562656          41675164          0                 0                 1973580231497     787476810205      0                 0                
1676375980        0                 260               0                 40563199          41675707          0                 0                 1973580545639     787476994421      0                 0                
1676376009        1                 260               0                 40563736          41676243          0                 0                 1973580853938     787477177933      0                 0                
1676376038        0                 260               0                 40564280          41676787          0                 0                 1973581170273     787477362341      0                 0                
1676376073        0                 260               0                 40564922          41677429          0                 0                 1973581503851     787477566205      0                 0                
1676376100        0                 260               0                 40565462          41677969          0                 0                 1973581812460     787477749813      0                 0                
1676376129        0                 260               0                 40566005          41678511          0                 0                 1973582130111     787477934573      0                 0                
1676376153        0                 260               0                 40566536          41679041          0                 0                 1973582428862     787478116805      0                 0                
1676376183        0                 260               0                 40567085          41679589          0                 0                 1973582750703     787478302109      0                 0                
1676376210        0                 260               0                 40567618          41680121          0                 0                 1973583051150     787478484757      0                 0                
1676376236        0                 260               0                 40568161          41680664          0                 0                 1973583375036     787478669709      0                 0                
1676376262        0                 260               0                 40568701          41681203          0                 0                 1973583676619     787478853093      0                 0                
1676376290        0                 260               0                 40569242          41681746          0                 0                 1973583999334     787479038013      0                 0                
1676376324        0                 260               0                 40569899          41682402          0                 0                 1973584344199     787479243957      0                 0                
1676376347        0                 267               0                 40571136          41683638          0                 0                 1973584891247     787486487893      0                 0                
1676376375        0                 267               0                 40572069          41684570          0                 0                 1973585341541     787498341925      0                 0                
1676376410        0                 267               0                 40572621          41685121          0                 0                 1973585661105     787498527805      0                 0                
1676376442        0                 267               0                 40573309          41685808          0                 0                 1973586001630     787498834333      0                 0                
1676376472        0                 267               0                 40573886          41686385          0                 0                 1973586330093     787499100149      0                 0                
1676376505        0                 267               0                 40575302          41687801          0                 0                 1973586905352     787501264853      0                 0                
1676376540        0                 267               0                 40575973          41688471          0                 0                 1973587250570     787501506541      0                 0                
1676376569        0                 267               0                 40576533          41689030          0                 0                 1973587560446     787501752053      0                 0                
1676376593        0                 267               0                 40577091          41689587          0                 0                 1973587879077     787508201629      0                 0                
1676376616        0                 267               0                 40577635          41690130          0                 0                 1973588187758     787508407021      0                 0                
1676376648        0                 267               0                 40578183          41690678          0                 0                 1973588507863     787508592293      0                 0                
1676376674        0                 267               0                 40578770          41691265          0                 0                 1973588827869     787514568717      0                 0                
1676376699        0                 267               0                 40579471          41691966          0                 0                 1973589189513     787529175797      0                 0                
1676376727        0                 267               0                 40580005          41692500          0                 0                 1973589498413     787529362877      0                 0                
1676376756        0                 267               0                 40580636          41693123          0                 0                 1973589851235     787529604604      0                 0                
1676376782        0                 267               0                 40581103          41693589          0                 0                 1973590085742     787529759228      0                 0                
