time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676375398        0                 109               0                 22851437          24082057          0                 6                 1231037653294     633081171389      0                 1344             
1676375408        0                 109               0                 22855143          24085660          0                 6                 1231039781816     633082882569      0                 1344             
1676375418        0                 109               0                 22855769          24086289          0                 6                 1231040210119     633083391364      0                 1344             
1676375429        0                 109               0                 22862666          24093185          0                 6                 1231043010307     633176337834      0                 1344             
1676375439        0                 109               0                 22871053          24101571          0                 6                 1231046621731     633222866354      0                 1344             
1676375449        0                 109               0                 22880155          24110672          0                 6                 1231050697260     633258516709      0                 1344             
1676375460        0                 109               0                 22886205          24116720          0                 6                 1231053371499     633291909938      0                 1344             
1676375470        0                 109               0                 22886688          24117203          0                 6                 1231053620514     633293499002      0                 1344             
1676375480        0                 109               0                 22887043          24117558          0                 6                 1231053830764     633293629426      0                 1344             
1676375491        0                 109               0                 22887380          24117894          0                 6                 1231054022185     633293756330      0                 1344             
1676375501        0                 109               0                 22887825          24118338          0                 6                 1231054237118     633293903586      0                 1344             
1676375511        0                 109               0                 22888162          24118674          0                 6                 1231054428541     633294030490      0                 1344             
1676375521        0                 109               0                 22888621          24119132          0                 6                 1231054664232     633294180690      0                 1344             
1676375532        0                 109               0                 22888958          24119468          0                 6                 1231054855651     633294307594      0                 1344             
1676375542        0                 109               0                 22889294          24119803          0                 6                 1231055047062     633294434434      0                 1344             
1676375552        0                 109               0                 22889741          24120249          0                 6                 1231055266281     633294581978      0                 1344             
1676375563        0                 109               0                 22890090          24120598          0                 6                 1231055480272     633294711730      0                 1344             
1676375573        0                 109               0                 22890543          24121050          0                 6                 1231055697027     633295103293      0                 1344             
1676375583        0                 109               0                 22890900          24121408          0                 6                 1231055917041     633295409825      0                 1344             
1676375594        0                 109               0                 22891361          24121868          0                 6                 1231056151764     633295560281      0                 1344             
1676375604        0                 109               0                 22891712          24122218          0                 6                 1231056364476     633295690257      0                 1344             
1676375614        0                 109               0                 22892068          24122573          0                 6                 1231056578833     633295820553      0                 1344             
1676375625        0                 109               0                 22892524          24123028          0                 6                 1231056818291     633295970689      0                 1344             
1676375635        0                 109               0                 22892879          24123383          0                 6                 1231057035842     633296100985      0                 1344             
1676375645        0                 109               0                 22893333          24123838          0                 6                 1231057278543     633296251121      0                 1344             
1676375656        0                 109               0                 22893673          24124177          0                 6                 1231057469442     633296378089      0                 1344             
1676375666        0                 109               0                 22894008          24124511          0                 6                 1231057660341     633296504737      0                 1344             
1676375676        0                 109               0                 22894457          24124959          0                 6                 1231057878029     633296652665      0                 1344             
1676375687        0                 109               0                 22894803          24125307          0                 6                 1231058096300     633296782225      0                 1344             
1676375697        0                 109               0                 22895249          24125752          0                 6                 1231058310943     633296929545      0                 1344             
1676375707        0                 109               0                 22895584          24126086          0                 6                 1231058501842     633297056193      0                 1344             
1676375717        0                 109               0                 22896030          24126532          0                 6                 1231058721110     633297203737      0                 1344             
1676375728        0                 109               0                 22896380          24126882          0                 6                 1231058936795     633297333713      0                 1344             
1676375738        0                 109               0                 22896736          24127237          0                 6                 1231059149997     633297464009      0                 1344             
1676375748        0                 109               0                 22897193          24127693          0                 6                 1231059388556     633297614337      0                 1344             
1676375759        0                 109               0                 22897548          24128048          0                 6                 1231059604984     633297744633      0                 1344             
1676375769        0                 109               0                 22898002          24128503          0                 6                 1231059846545     633297894769      0                 1344             
1676375779        0                 109               0                 22898356          24128858          0                 6                 1231060062103     633298025065      0                 1344             
1676375790        0                 109               0                 22898707          24129208          0                 6                 1231060271082     633298155041      0                 1344             
1676375800        0                 109               0                 22899168          24129669          0                 6                 1231060505418     633298305689      0                 1344             
1676375810        0                 109               0                 22899519          24130019          0                 6                 1231060713527     633298435665      0                 1344             
1676375821        0                 109               0                 22899980          24130479          0                 6                 1231060946769     633298586121      0                 1344             
1676375831        0                 109               0                 22900331          24130829          0                 6                 1231061158104     633298716097      0                 1344             
1676375841        0                 109               0                 22900686          24131184          0                 6                 1231061371052     633298846393      0                 1344             
1676375852        0                 109               0                 22901140          24131637          0                 6                 1231061604589     633298996145      0                 1344             
1676375862        0                 109               0                 22901496          24131992          0                 6                 1231061816667     633299126441      0                 1344             
1676375872        0                 109               0                 22901949          24132445          0                 6                 1231062053430     633299276193      0                 1344             
1676375882        0                 109               0                 22902304          24132800          0                 6                 1231062268734     633299406489      0                 1344             
1676375893        0                 109               0                 22902759          24133254          0                 6                 1231062504851     633299556433      0                 1344             
1676375903        0                 109               0                 22903114          24133609          0                 6                 1231062719286     633299686729      0                 1344             
1676375913        0                 109               0                 22903464          24133959          0                 6                 1231062935334     633299816705      0                 1344             
1676375924        0                 109               0                 22903926          24134420          0                 6                 1231063172643     633299967353      0                 1344             
1676375934        0                 109               0                 22904277          24134770          0                 6                 1231063387821     633300097329      0                 1344             
1676375944        0                 109               0                 22904738          24135230          0                 6                 1231063628132     633300247785      0                 1344             
1676375955        0                 109               0                 22905088          24135580          0                 6                 1231063846536     633300377761      0                 1344             
1676375965        0                 109               0                 22905444          24135935          0                 6                 1231064062457     633300508057      0                 1344             
1676375975        0                 109               0                 22905899          24136391          0                 6                 1231064303739     633300658385      0                 1344             
1676375986        0                 109               0                 22906279          24136771          0                 6                 1231064526604     633300798033      0                 1344             
1676375996        0                 109               0                 22906732          24137224          0                 6                 1231064762281     633300947785      0                 1344             
1676376006        0                 109               0                 22907088          24137579          0                 6                 1231064972402     633301078081      0                 1344             
1676376016        0                 109               0                 22907439          24137929          0                 6                 1231065184135     633301208057      0                 1344             
1676376027        0                 109               0                 22907899          24138388          0                 6                 1231065420776     633301358321      0                 1344             
1676376037        0                 109               0                 22908249          24138738          0                 6                 1231065635733     633301488297      0                 1344             
1676376047        0                 109               0                 22908708          24139196          0                 6                 1231065871278     633301638369      0                 1344             
1676376058        0                 109               0                 22909059          24139546          0                 6                 1231066085363     633301768345      0                 1344             
1676376068        0                 109               0                 22909519          24140005          0                 6                 1231066324356     633301918609      0                 1344             
1676376078        0                 109               0                 22909870          24140355          0                 6                 1231066541665     633302048585      0                 1344             
1676376089        0                 109               0                 22910226          24140710          0                 6                 1231066760586     633302178881      0                 1344             
1676376099        0                 109               0                 22910685          24141168          0                 6                 1231067005383     633302329697      0                 1344             
1676376109        0                 109               0                 22911037          24141520          0                 6                 1231067227008     633302459441      0                 1344             
1676376120        0                 109               0                 22911493          24141976          0                 6                 1231067474285     633302609641      0                 1344             
1676376130        0                 109               0                 22911847          24142330          0                 6                 1231067695558     633302739873      0                 1344             
1676376140        0                 109               0                 22912197          24142681          0                 6                 1231067918443     633302869913      0                 1344             
1676376151        0                 109               0                 22912656          24143141          0                 6                 1231068158268     633303020369      0                 1344             
1676376161        0                 109               0                 22913004          24143491          0                 6                 1231068376185     633303150345      0                 1344             
1676376171        0                 109               0                 22913455          24143945          0                 6                 1231068619010     633303300289      0                 1344             
1676376181        0                 109               0                 22913811          24144300          0                 6                 1231068823767     633303430585      0                 1344             
1676376192        0                 109               0                 22914161          24144650          0                 6                 1231069030136     633303560561      0                 1344             
1676376202        0                 109               0                 22914620          24145108          0                 6                 1231069257093     633303710633      0                 1344             
1676376212        0                 109               0                 22914971          24145458          0                 6                 1231069462590     633303840609      0                 1344             
1676376223        0                 109               0                 22915431          24145917          0                 6                 1231069692995     633303990873      0                 1344             
1676376233        0                 109               0                 22915782          24146267          0                 6                 1231069901716     633304120849      0                 1344             
1676376243        0                 109               0                 22916242          24146726          0                 6                 1231070135345     633304271113      0                 1344             
1676376254        0                 109               0                 22916593          24147076          0                 6                 1231070347290     633304401089      0                 1344             
1676376264        0                 109               0                 22916948          24147431          0                 6                 1231070560848     633304531385      0                 1344             
1676376274        0                 109               0                 22917403          24147887          0                 6                 1231070799762     633304681713      0                 1344             
1676376285        0                 109               0                 22917759          24148242          0                 6                 1231071008352     633304812009      0                 1344             
1676376295        0                 109               0                 22918214          24148697          0                 6                 1231071242074     633304962145      0                 1344             
1676376305        0                 109               0                 22918587          24149069          0                 6                 1231071463360     633305095705      0                 1344             
1676376316        0                 109               0                 22918941          24149422          0                 6                 1231071673706     633305226257      0                 1344             
1676376326        0                 109               0                 22919390          24149870          0                 6                 1231071907928     633305374409      0                 1344             
1676376336        0                 109               0                 22920183          24150662          0                 6                 1231072262203     633312565041      0                 1344             
1676376347        0                 109               0                 22920660          24151139          0                 6                 1231072520666     633312743481      0                 1344             
1676376357        0                 109               0                 22921063          24151542          0                 6                 1231072767045     633312978393      0                 1344             
1676376367        0                 109               0                 22921406          24151884          0                 6                 1231072966181     633313105937      0                 1344             
1676376377        0                 109               0                 22921846          24152323          0                 6                 1231073180710     633313252745      0                 1344             
1676376388        0                 109               0                 22922188          24152664          0                 6                 1231073374282     633313380129      0                 1344             
1676376398        0                 109               0                 22922640          24153116          0                 6                 1231073612510     633313529657      0                 1344             
1676376408        0                 109               0                 22922980          24153455          0                 6                 1231073803416     633313656625      0                 1344             
1676376419        0                 109               0                 22923435          24153910          0                 6                 1231074044197     633313806761      0                 1344             
1676376429        0                 109               0                 22923789          24154265          0                 6                 1231074263070     633313937057      0                 1344             
1676376439        0                 109               0                 22924139          24154615          0                 6                 1231074475363     633314067033      0                 1344             
1676376450        0                 109               0                 22924600          24155076          0                 6                 1231074713012     633314217681      0                 1344             
1676376460        0                 109               0                 22924951          24155426          0                 6                 1231074924433     633314347657      0                 1344             
1676376470        0                 109               0                 22925412          24155886          0                 6                 1231075160986     633314498113      0                 1344             
1676376481        0                 109               0                 22925764          24156237          0                 6                 1231075375959     633314628281      0                 1344             
1676376491        0                 109               0                 22926151          24156623          0                 6                 1231075601664     633314826505      0                 1344             
1676376501        0                 109               0                 22926606          24157077          0                 6                 1231075842829     633314976449      0                 1344             
1676376512        0                 109               0                 22926960          24157432          0                 6                 1231076062310     633315106745      0                 1344             
1676376522        0                 109               0                 22927414          24157886          0                 6                 1231076302603     633315256689      0                 1344             
1676376532        0                 109               0                 22927770          24158241          0                 6                 1231076517116     633315386985      0                 1344             
1676376543        0                 109               0                 22928402          24158873          0                 6                 1231076810649     633315937785      0                 1344             
1676376553        0                 109               0                 22928756          24159228          0                 6                 1231077028386     633316068081      0                 1344             
1676376563        0                 109               0                 22929105          24159578          0                 6                 1231077243639     633316198057      0                 1344             
1676376573        0                 109               0                 22929567          24160039          0                 6                 1231077476056     633316348705      0                 1344             
1676376584        0                 109               0                 22929917          24160389          0                 6                 1231077686341     633316478681      0                 1344             
1676376594        0                 109               0                 22930376          24160849          0                 6                 1231077921758     633316629137      0                 1344             
1676376604        0                 109               0                 22930727          24161199          0                 6                 1231078127075     633316759113      0                 1344             
1676376615        0                 109               0                 22931083          24161554          0                 6                 1231078334004     633316889409      0                 1344             
1676376625        0                 109               0                 22931540          24162010          0                 6                 1231078566289     633317039737      0                 1344             
1676376635        0                 109               0                 22931896          24162365          0                 6                 1231078776442     633317170033      0                 1344             
1676376646        0                 109               0                 22932351          24162819          0                 6                 1231079011503     633317319977      0                 1344             
1676376656        0                 109               0                 22932707          24163174          0                 6                 1231079224880     633317450273      0                 1344             
1676376666        0                 109               0                 22933057          24163524          0                 6                 1231079439869     633317580249      0                 1344             
1676376677        0                 109               0                 22933516          24163983          0                 6                 1231079675670     633317730513      0                 1344             
1676376687        0                 109               0                 22933866          24164333          0                 6                 1231079889787     633317860489      0                 1344             
1676376697        0                 109               0                 22934328          24164794          0                 6                 1231080125324     633318015257      0                 1344             
1676376708        0                 109               0                 22934679          24165144          0                 6                 1231080338569     633318145233      0                 1344             
1676376718        0                 109               0                 22946823          24177287          0                 6                 1231085571506     633365713150      0                 1344             
1676376728        0                 109               0                 22949142          24179605          0                 6                 1231086404335     633413949996      0                 1344             
1676376739        0                 109               0                 22949475          24179938          0                 6                 1231086599458     633414071220      0                 1344             
1676376749        0                 109               0                 22949896          24180359          0                 6                 1231086807702     633414210119      0                 1344             
1676376759        0                 109               0                 22950216          24180678          0                 6                 1231086984848     633414325535      0                 1344             
1676376769        0                 109               0                 22950637          24181097          0                 6                 1231087183032     633414460791      0                 1344             
1676376780        0                 109               0                 22950958          24181416          0                 6                 1231087359310     633414576207      0                 1344             
1676376790        0                 109               0                 22951274          24181730          0                 6                 1231087537202     633414691303      0                 1344             
