#TIME             gpu_0_avail_GB    gpu_0_used_GB     gpu_1_avail_GB    gpu_1_used_GB     gpu_2_avail_GB    gpu_2_used_GB     gpu_3_avail_GB    gpu_3_used_GB     
1676375397        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375407        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375418        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375428        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375438        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375449        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375459        15.833            0.292             15.833            0.292             15.833            0.292             15.833            0.292             
1676375469        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375479        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375490        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375500        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375510        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375521        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375531        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375541        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375552        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375562        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375572        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375582        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375593        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375603        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375613        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375624        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375634        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375644        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375655        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375665        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375675        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375686        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375696        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375706        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375716        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375727        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375737        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375747        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375758        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375768        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375778        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375789        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375799        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375809        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375820        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375830        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375840        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375850        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375861        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375871        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375881        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375892        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375902        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375912        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375923        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375933        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375943        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375954        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375964        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375974        1.041             15.084            1.041             15.084            1.041             15.084            1.001             15.124            
1676375985        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676375995        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376005        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376015        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376026        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376036        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376046        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376057        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376067        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376077        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376088        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376098        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376108        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376119        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376129        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376139        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376150        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376160        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376170        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376181        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376191        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376201        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376212        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376222        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376232        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376242        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376253        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376263        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376273        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376284        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376294        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376304        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376315        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376325        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376336        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376346        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376356        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376367        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376377        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376387        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376398        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376408        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376418        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376429        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376439        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376449        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
