time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676375398        0                 110               0                 30753929          32797444          0                 0                 2023624550754     1448403131489     0                 0                
1676375408        0                 110               0                 30757638          32801056          0                 0                 2023626755984     1448404826233     0                 0                
1676375418        0                 110               0                 30758164          32801580          0                 0                 2023627055413     1448405177325     0                 0                
1676375429        0                 110               0                 30765060          32808474          0                 0                 2023629858721     1448498141046     0                 0                
1676375439        0                 110               0                 30773219          32816633          0                 0                 2023633339612     1448544094491     0                 0                
1676375449        0                 110               0                 30782389          32825801          0                 0                 2023637467451     1448579921023     0                 0                
1676375460        0                 110               0                 30788661          32832072          0                 0                 2023640256177     1448613858478     0                 0                
1676375470        0                 110               0                 30789145          32832555          0                 0                 2023640488650     1448615446894     0                 0                
1676375480        0                 110               0                 30789497          32832907          0                 0                 2023640698865     1448615577126     0                 0                
1676375490        0                 110               0                 30789942          32833351          0                 0                 2023640913773     1448615724382     0                 0                
1676375501        0                 110               0                 30790279          32833687          0                 0                 2023641105153     1448615851286     0                 0                
1676375511        0                 110               0                 30790635          32834042          0                 0                 2023641316650     1448615981710     0                 0                
1676375521        0                 110               0                 30791074          32834480          0                 0                 2023641530903     1448616128198     0                 0                
1676375532        0                 110               0                 30791414          32834819          0                 0                 2023641722284     1448616255294     0                 0                
1676375542        0                 110               0                 30791858          32835262          0                 0                 2023641939945     1448616402774     0                 0                
1676375552        0                 110               0                 30792209          32835613          0                 0                 2023642149962     1448616532366     0                 0                
1676375563        0                 110               0                 30792652          32836056          0                 0                 2023642369929     1448616679846     0                 0                
1676375573        0                 110               0                 30792999          32836402          0                 0                 2023642563126     1448617051185     0                 0                
1676375583        0                 110               0                 30793345          32836747          0                 0                 2023642759667     1448617354869     0                 0                
1676375594        0                 110               0                 30793794          32837196          0                 0                 2023642991936     1448617503789     0                 0                
1676375604        0                 110               0                 30794136          32837537          0                 0                 2023643185899     1448617631173     0                 0                
1676375614        0                 110               0                 30794577          32837977          0                 0                 2023643400504     1448617778173     0                 0                
1676375625        0                 110               0                 30794919          32838318          0                 0                 2023643595285     1448617905557     0                 0                
1676375635        0                 110               0                 30795267          32838665          0                 0                 2023643804406     1448618034893     0                 0                
1676375645        0                 110               0                 30795713          32839111          0                 0                 2023644024015     1448618182437     0                 0                
1676375656        0                 110               0                 30796048          32839445          0                 0                 2023644214876     1448618309085     0                 0                
1676375666        0                 110               0                 30796495          32839891          0                 0                 2023644433753     1448618456629     0                 0                
1676375676        0                 110               0                 30796843          32840239          0                 0                 2023644649542     1448618586189     0                 0                
1676375686        0                 110               0                 30797289          32840684          0                 0                 2023644864147     1448618733509     0                 0                
1676375697        0                 110               0                 30797625          32841020          0                 0                 2023645059936     1448618860573     0                 0                
1676375708        0                 110               0                 30797972          32841367          0                 0                 2023645265632     1448618989205     0                 0                
1676375718        0                 110               0                 30798415          32841809          0                 0                 2023645485621     1448619136653     0                 0                
1676375728        0                 110               0                 30798756          32842150          0                 0                 2023645681862     1448619264037     0                 0                
1676375739        0                 110               0                 30799200          32842593          0                 0                 2023645898099     1448619411645     0                 0                
1676375749        0                 110               0                 30799547          32842940          0                 0                 2023646102359     1448619540277     0                 0                
1676375759        0                 110               0                 30799886          32843278          0                 0                 2023646300140     1448619667757     0                 0                
1676375770        0                 110               0                 30800333          32843724          0                 0                 2023646518161     1448619815429     0                 0                
1676375780        0                 110               0                 30800671          32844061          0                 0                 2023646711006     1448619942557     0                 0                
1676375790        0                 110               0                 30801120          32844511          0                 0                 2023646941222     1448620091093     0                 0                
1676375801        0                 110               0                 30801459          32844850          0                 0                 2023647140091     1448620218637     0                 0                
1676375811        0                 110               0                 30801799          32845190          0                 0                 2023647336500     1448620345957     0                 0                
1676375821        0                 110               0                 30802243          32845633          0                 0                 2023647553666     1448620493437     0                 0                
1676375831        0                 110               0                 30802594          32845983          0                 0                 2023647759783     1448620622837     0                 0                
1676375842        0                 110               0                 30803036          32846424          0                 0                 2023647976992     1448620769933     0                 0                
1676375852        0                 110               0                 30803377          32846764          0                 0                 2023648170846     1448620897253     0                 0                
1676375862        0                 110               0                 30803823          32847209          0                 0                 2023648387653     1448621045117     0                 0                
1676375873        0                 110               0                 30804171          32847557          0                 0                 2023648595652     1448621174101     0                 0                
1676375883        0                 110               0                 30804508          32847894          0                 0                 2023648791697     1448621301229     0                 0                
1676375893        0                 110               0                 30804955          32848340          0                 0                 2023649009871     1448621448901     0                 0                
1676375904        0                 110               0                 30805293          32848677          0                 0                 2023649202939     1448621576029     0                 0                
1676375914        0                 110               0                 30805745          32849129          0                 0                 2023649433435     1448621724981     0                 0                
1676375924        0                 110               0                 30806083          32849466          0                 0                 2023649627517     1448621852109     0                 0                
1676375935        0                 110               0                 30806424          32849806          0                 0                 2023649822524     1448621979429     0                 0                
1676375945        0                 110               0                 30806868          32850249          0                 0                 2023650039788     1448622126909     0                 0                
1676375955        0                 110               0                 30807217          32850597          0                 0                 2023650246188     1448622255893     0                 0                
1676375966        0                 110               0                 30807659          32851039          0                 0                 2023650465922     1448622403181     0                 0                
1676375976        0                 110               0                 30807999          32851379          0                 0                 2023650661506     1448622530501     0                 0                
1676375986        0                 110               0                 30808467          32851846          0                 0                 2023650890871     1448622687141     0                 0                
1676375996        0                 110               0                 30808814          32852194          0                 0                 2023651100568     1448622816125     0                 0                
1676376007        0                 110               0                 30809154          32852533          0                 0                 2023651296025     1448622943669     0                 0                
1676376017        0                 110               0                 30809600          32852978          0                 0                 2023651513854     1448623091149     0                 0                
1676376027        0                 110               0                 30809946          32853323          0                 0                 2023651717831     1448623219941     0                 0                
1676376038        0                 110               0                 30810393          32853770          0                 0                 2023651937655     1448623367805     0                 0                
1676376048        0                 110               0                 30810729          32854105          0                 0                 2023652128519     1448623494517     0                 0                
1676376058        0                 110               0                 30811072          32854447          0                 0                 2023652325052     1448623622253     0                 0                
1676376069        0                 110               0                 30811524          32854898          0                 0                 2023652556069     1448623771397     0                 0                
1676376079        0                 110               0                 30811865          32855238          0                 0                 2023652749961     1448623898717     0                 0                
1676376089        0                 110               0                 30812308          32855680          0                 0                 2023652964793     1448624045973     0                 0                
1676376100        0                 110               0                 30812651          32856022          0                 0                 2023653162350     1448624173709     0                 0                
1676376110        0                 110               0                 30812997          32856367          0                 0                 2023653372919     1448624302501     0                 0                
1676376120        0                 110               0                 30813443          32856813          0                 0                 2023653592687     1448624450173     0                 0                
1676376131        0                 110               0                 30813779          32857148          0                 0                 2023653783551     1448624576885     0                 0                
1676376141        0                 110               0                 30814225          32857594          0                 0                 2023654005428     1448624724589     0                 0                
1676376151        0                 110               0                 30814568          32857939          0                 0                 2023654219293     1448624853381     0                 0                
1676376162        0                 110               0                 30815016          32858386          0                 0                 2023654437321     1448625001245     0                 0                
1676376172        0                 110               0                 30815352          32858721          0                 0                 2023654628185     1448625127957     0                 0                
1676376182        0                 110               0                 30815701          32859073          0                 0                 2023654845071     1448625257773     0                 0                
1676376192        0                 110               0                 30816141          32859513          0                 0                 2023655063802     1448625404677     0                 0                
1676376203        0                 110               0                 30816476          32859847          0                 0                 2023655254666     1448625531325     0                 0                
1676376213        0                 110               0                 30816923          32860293          0                 0                 2023655469498     1448625678837     0                 0                
1676376223        0                 110               0                 30817272          32860641          0                 0                 2023655674320     1448625808397     0                 0                
1676376234        0                 110               0                 30817614          32860982          0                 0                 2023655868015     1448625935781     0                 0                
1676376244        0                 110               0                 30818055          32861422          0                 0                 2023656082624     1448626082781     0                 0                
1676376254        0                 110               0                 30818395          32861761          0                 0                 2023656273489     1448626209749     0                 0                
1676376265        0                 110               0                 30818846          32862212          0                 0                 2023656505704     1448626359085     0                 0                
1676376275        0                 110               0                 30819187          32862553          0                 0                 2023656701532     1448626486469     0                 0                
1676376285        0                 110               0                 30819522          32862887          0                 0                 2023656892397     1448626613117     0                 0                
1676376296        0                 110               0                 30819968          32863332          0                 0                 2023657107006     1448626760437     0                 0                
