#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375397 73384203 57744932 25621950 22363574 41160993 33636143 87481 100270 12344.37 9066.33 51789.24 55442.58
1676375408 73384203 57744932 25621950 22363574 41161622 33636787 87481 100270 12340.35 9065.00 51793.25 55444.06
1676375418 73384203 57744932 25621950 22363574 41161701 33636892 87481 100270 12336.69 9053.45 51797.61 55455.95
1676375428 73384233 57744936 25621950 22363574 41161773 33637154 87481 100270 12337.14 8866.46 51795.52 55643.07
1676375439 73384352 57744948 25621950 22363574 41161823 33637500 87481 100270 12339.62 8602.94 51793.61 55905.50
1676375449 73384352 57744948 25621950 22363574 41161889 33637677 87481 100270 12337.26 8489.88 51795.97 56019.20
1676375459 73384352 57744948 25621950 22363574 41162196 33638648 87481 100270 12077.41 7262.64 52056.84 57246.27
1676375470 73384605 57745014 25621950 22363574 41162277 33640242 87481 100270 12061.34 5390.58 52073.30 59118.33
1676375480 73384605 57745014 25621950 22363574 41162344 33640321 87481 100270 12059.33 5384.26 52074.81 59125.75
1676375490 73384605 57745014 25621950 22363574 41162420 33640395 87481 100270 12056.63 5377.25 52077.12 59131.66
1676375500 73385325 57745138 25621950 22363574 41162486 33640479 87481 100270 12000.93 5415.15 52132.68 59094.47
1676375511 73385368 57745174 25621950 22363574 41162541 33640579 87481 100270 11998.65 5401.80 52135.11 59107.21
1676375521 73386572 57745660 25621950 22363574 41162624 33640647 87481 100270 11986.16 5401.69 52148.05 59107.34
1676375531 73387525 57745716 25621950 22363574 41162702 33640718 87481 100270 11987.46 5388.98 52146.76 59120.45
1676375542 73387644 57745766 25621950 22363574 41162768 33640798 87481 100270 11989.61 5377.65 52144.54 59130.84
1676375552 73387734 57745844 25621950 22363574 41162848 33640912 87481 100270 11944.49 5355.84 52190.27 59152.62
1676375562 73387916 57745914 25621950 22363574 41162918 33641016 87481 100270 11923.35 5338.64 52210.86 59169.85
1676375573 73387925 57745914 25621950 22363574 41162999 33641094 87481 100270 11907.38 5343.36 52226.71 59165.63
1676375583 73388308 57746060 25621950 22363574 41163097 33641183 87481 100270 11825.73 5403.46 52307.96 59104.98
1676375593 73388308 57746060 25621950 22363574 41163163 33641252 87481 100270 11825.00 5404.74 52308.29 59104.67
1676375604 73388308 57746060 25621950 22363574 41163222 33641327 87481 100270 11826.34 5404.18 52308.26 59105.25
1676375614 73388321 57746066 25621950 22363574 41163278 33641414 87481 100270 11825.91 5396.63 52308.33 59112.28
1676375624 73388442 57746152 25621950 22363574 41163358 33641494 87481 100270 11822.11 5392.27 52311.62 59117.16
1676375634 73388596 57746244 25621950 22363574 41163449 33641582 87481 100270 11827.23 5358.88 52306.38 59150.71
1676375645 73388891 57746282 25621950 22363574 41163563 33641742 87481 100270 11767.84 5350.69 52365.29 59158.42
1676375655 73388891 57746282 25621950 22363574 41163616 33641826 87481 100270 11767.51 5351.84 52366.79 59157.07
1676375665 73388891 57746282 25621950 22363574 41163679 33641898 87481 100270 11767.38 5350.70 52366.22 59158.36
1676375676 73388891 57746282 25621950 22363574 41163729 33641983 87481 100270 11767.26 5351.06 52366.56 59157.87
