#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375398 70592067 56566920 5230275 6300562 39979764 32233127 24703 20650 10408.54 10687.16 53741.21 53806.14
1676375408 70592067 56566920 5230275 6300562 39980373 32233742 24703 20650 10402.36 10672.30 53746.23 53820.97
1676375418 70592067 56566920 5230275 6300562 39980468 32233874 24703 20650 10407.71 10661.22 53742.11 53832.77
1676375429 70592098 56566924 5230275 6300562 39980530 32234146 24703 20650 10408.13 10468.47 53741.19 54024.91
1676375439 70592220 56566936 5230275 6300562 39980582 32234510 24703 20650 10409.67 10185.03 53740.22 54308.85
1676375449 70592220 56566936 5230275 6300562 39980639 32234662 24703 20650 10411.51 10102.49 53738.35 54390.81
1676375460 70592717 56567038 5230275 6300562 39981214 32235390 24703 20650 9747.64 8648.13 54402.12 55869.12
1676375470 70595298 56567954 5230275 6300562 39981316 32236675 24703 20650 9740.07 7392.99 54409.79 57100.30
1676375480 70595355 56568010 5230275 6300562 39981382 32236753 24703 20650 9739.23 7386.96 54409.99 57107.38
1676375491 70595515 56568032 5230275 6300562 39981442 32236841 24703 20650 9737.09 7378.93 54412.30 57113.89
1676375501 70595521 56568032 5230275 6300562 39981521 32236919 24703 20650 9731.38 7365.16 54417.56 57129.15
1676375511 70595688 56568126 5230275 6300562 39981590 32236999 24703 20650 9726.91 7360.61 54422.17 57132.87
1676375522 70595717 56568130 5230275 6300562 39981654 32237084 24703 20650 9718.63 7357.68 54431.07 57136.80
1676375532 70595809 56568174 5230275 6300562 39981715 32237172 24703 20650 9691.46 7372.94 54457.85 57119.96
1676375542 70595850 56568178 5230275 6300562 39981787 32237245 24703 20650 9688.93 7371.21 54459.95 57122.59
1676375552 70595996 56568240 5230275 6300562 39981903 32237327 24703 20650 9643.93 7345.82 54506.30 57147.47
1676375563 70596231 56568354 5230275 6300562 39981977 32237426 24703 20650 9640.66 7310.56 54509.66 57181.79
1676375573 70596237 56568360 5230275 6300562 39982047 32237521 24703 20650 9625.12 7301.03 54523.78 57192.36
1676375583 70596334 56568414 5230275 6300562 39982118 32237606 24703 20650 9628.39 7277.83 54520.55 57215.48
1676375594 70596334 56568414 5230275 6300562 39982184 32237676 24703 20650 9627.80 7277.41 54521.50 57216.57
1676375604 70596334 56568414 5230275 6300562 39982239 32237754 24703 20650 9629.12 7275.23 54520.18 57218.07
1676375614 70596592 56568480 5230275 6300562 39982306 32237835 24703 20650 9631.55 7268.24 54518.24 57224.71
1676375625 70596631 56568494 5230275 6300562 39982373 32237923 24703 20650 9626.61 7260.06 54522.78 57233.71
1676375635 70596666 56568522 5230275 6300562 39982458 32238017 24703 20650 9625.54 7230.07 54524.80 57263.26
1676375645 70597227 56568642 5230275 6300562 39982624 32238092 24703 20650 9518.27 7271.68 54630.96 57221.75
1676375655 70597227 56568642 5230275 6300562 39982689 32238162 24703 20650 9519.30 7269.38 54630.97 57224.48
1676375666 70597227 56568642 5230275 6300562 39982739 32238248 24703 20650 9519.40 7267.17 54630.29 57226.73
1676375676 70597227 56568642 5230275 6300562 39982803 32238316 24703 20650 9519.14 7268.02 54630.68 57225.86
1676375686 70597227 56568642 5230275 6300562 39982865 32238390 24703 20650 9517.82 7267.63 54630.93 57226.39
1676375697 70597227 56568642 5230275 6300562 39982913 32238474 24703 20650 9519.88 7267.07 54630.98 57226.31
1676375708 70597227 56568642 5230275 6300562 39982980 32238543 24703 20650 9517.82 7269.38 54632.57 57224.44
1676375718 70597227 56568642 5230275 6300562 39983044 32238612 24703 20650 9516.62 7269.90 54632.13 57224.02
1676375728 70597227 56568642 5230275 6300562 39983096 32238696 24703 20650 9518.93 7268.29 54629.70 57224.39
1676375739 70597227 56568642 5230275 6300562 39983149 32238780 24703 20650 9519.68 7268.70 54629.70 57225.15
