#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375397 58259776 35184698 24263607 5980154 20537086 22635902 23407 95047 11770.95 12005.72 52362.29 52503.20
1676375407 58259776 35184698 24263607 5980154 20537671 22636570 23407 95047 11768.07 12004.18 52365.53 52503.95
1676375418 58259776 35184698 24263607 5980154 20537787 22636657 23407 95047 11764.37 11998.79 52369.89 52510.69
1676375428 58259823 35184706 24263607 5980154 20537912 22636871 23407 95047 11747.30 11838.06 52386.01 52670.38
1676375438 58259823 35184706 24263607 5980154 20537994 22637201 23407 95047 11748.91 11560.32 52385.32 52949.17
1676375449 58259930 35184724 24263607 5980154 20538078 22637360 23407 95047 11749.75 11442.80 52383.85 53066.24
1676375459 58260172 35184798 24263607 5980154 20538472 22638216 23407 95047 11407.79 10288.82 52725.81 54220.21
1676375469 58261862 35185456 24263607 5980154 20538577 22639797 23407 95047 11378.27 8433.87 52755.07 56075.52
1676375480 58262945 35185456 24263607 5980154 20538668 22639851 23407 95047 11373.85 8430.12 52760.73 56078.85
1676375490 58263351 35185604 24263607 5980154 20538758 22639910 23407 95047 11367.06 8426.26 52767.20 56082.73
1676375500 58263421 35185662 24263607 5980154 20538852 22639989 23407 95047 11356.96 8403.30 52776.64 56105.30
1676375510 58263565 35185734 24263607 5980154 20538942 22640063 23407 95047 11339.53 8406.59 52794.61 56101.97
1676375521 58263572 35185734 24263607 5980154 20539026 22640130 23407 95047 11330.31 8407.23 52803.80 56102.21
1676375531 58263674 35185792 24263607 5980154 20539104 22640202 23407 95047 11320.97 8404.57 52813.19 56104.52
1676375541 58263717 35185794 24263607 5980154 20539198 22640255 23407 95047 11312.96 8402.78 52820.78 56105.75
1676375552 58263804 35185868 24263607 5980154 20539376 22640370 23407 95047 11256.54 8330.12 52877.50 56179.28
