#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375398 63683487 46450726 24488008 55277062 32752087 26476208 216002 95892 12783.01 11552.97 51366.69 52941.00
1676375408 63683487 46450726 24488008 55277062 32752695 26476902 216002 95892 12776.34 11553.25 51373.89 52940.62
1676375418 63683487 46450726 24488008 55277062 32752798 26476975 216002 95892 12769.90 11537.04 51378.99 52956.82
1676375428 63683516 46450730 24488008 55277062 32752891 26477225 216002 95892 12771.94 11341.63 51377.47 53152.62
1676375439 63683516 46450730 24488008 55277062 32752973 26477536 216002 95892 12774.18 11080.56 51374.57 53412.73
1676375449 63683639 46450744 24488008 55277062 32753081 26477661 216002 95892 12747.94 11007.34 51401.29 53486.03
1676375459 63683882 46450812 24488008 55277062 32753680 26478333 216002 95892 12069.87 10195.54 52079.98 54297.75
1676375470 63686640 46452224 24488008 55277062 32753792 26479145 216002 95892 12094.98 8282.12 52054.74 56211.83
1676375480 63686780 46452318 24488008 55277062 32753858 26479227 216002 95892 12088.89 8279.38 52060.92 56214.04
1676375490 63686942 46452338 24488008 55277062 32753944 26479290 216002 95892 12080.70 8275.83 52068.70 56217.97
1676375501 63687028 46452410 24488008 55277062 32754043 26479351 216002 95892 12052.29 8285.60 52097.62 56208.23
1676375511 63687157 46452472 24488008 55277062 32754150 26479401 216002 95892 12047.11 8272.12 52103.17 56221.17
1676375521 63687246 46452494 24488008 55277062 32754246 26479456 216002 95892 12041.33 8269.73 52107.89 56223.17
1676375531 63687299 46452534 24488008 55277062 32754325 26479529 216002 95892 12035.33 8262.59 52113.89 56230.29
1676375542 63687387 46452550 24488008 55277062 32754419 26479601 216002 95892 12021.41 8267.29 52127.88 56226.52
1676375552 63687452 46452600 24488008 55277062 32754549 26479672 216002 95892 11906.86 8304.95 52241.89 56188.35
1676375563 63687638 46452682 24488008 55277062 32754642 26479763 216002 95892 11860.82 8298.65 52288.45 56194.18
1676375573 63687704 46452742 24488008 55277062 32754736 26479832 216002 95892 11839.73 8284.36 52309.59 56209.10
1676375583 63688038 46452826 24488008 55277062 32754816 26479913 216002 95892 11842.14 8262.74 52308.23 56230.55
1676375594 63688038 46452826 24488008 55277062 32754888 26479975 216002 95892 11840.46 8262.31 52308.40 56230.98
1676375604 63688038 46452826 24488008 55277062 32754973 26480025 216002 95892 11839.64 8264.25 52309.72 56229.12
1676375614 63688153 46452928 24488008 55277062 32755054 26480091 216002 95892 11855.62 8240.49 52294.21 56252.33
1676375625 63688218 46452950 24488008 55277062 32755137 26480170 216002 95892 11867.65 8219.38 52282.21 56273.91
1676375635 63688303 46452972 24488008 55277062 32755239 26480254 216002 95892 11876.71 8181.88 52273.10 56311.51
1676375645 63688891 46453200 24488008 55277062 32755413 26480337 216002 95892 11805.72 8193.43 52344.18 56300.41
1676375655 63688891 46453200 24488008 55277062 32755494 26480390 216002 95892 11804.99 8192.49 52343.80 56300.86
1676375666 63688891 46453200 24488008 55277062 32755566 26480453 216002 95892 11805.58 8191.30 52343.17 56302.13
1676375676 63688891 46453200 24488008 55277062 32755642 26480510 216002 95892 11808.11 8191.22 52342.22 56302.55
1676375686 63688891 46453200 24488008 55277062 32755729 26480558 216002 95892 11806.66 8192.18 52343.56 56301.64
1676375697 63688891 46453200 24488008 55277062 32755812 26480611 216002 95892 11805.92 8191.23 52344.35 56303.20
1676375708 63688891 46453200 24488008 55277062 32755884 26480676 216002 95892 11806.12 8191.82 52343.76 56301.96
1676375718 63688891 46453200 24488008 55277062 32755968 26480725 216002 95892 11805.37 8191.03 52344.02 56302.83
1676375728 63688891 46453200 24488008 55277062 32756053 26480778 216002 95892 11806.94 8190.95 52342.82 56302.49
1676375739 63688891 46453200 24488008 55277062 32756119 26480847 216002 95892 11806.02 8189.59 52343.20 56303.94
1676375749 63688891 46453200 24488008 55277062 32756189 26480910 216002 95892 11806.35 8192.28 52342.48 56301.11
1676375759 63688891 46453200 24488008 55277062 32756275 26480957 216002 95892 11805.75 8191.59 52342.59 56301.70
1676375769 63688891 46453200 24488008 55277062 32756360 26481009 216002 95892 11806.45 8192.09 52342.78 56301.84
1676375780 63688891 46453200 24488008 55277062 32756437 26481068 216002 95892 11807.78 8191.82 52340.61 56301.98
1676375790 63688891 46453200 24488008 55277062 32756507 26481134 216002 95892 11808.67 8188.85 52341.04 56304.57
1676375800 63688891 46453200 24488008 55277062 32756574 26481201 216002 95892 11808.18 8188.27 52341.04 56304.23
1676375811 63688891 46453200 24488008 55277062 32756646 26481263 216002 95892 11808.58 8189.48 52341.79 56303.82
1676375821 63688891 46453200 24488008 55277062 32756728 26481315 216002 95892 11807.13 8190.65 52342.12 56303.28
1676375831 63688891 46453200 24488008 55277062 32756801 26481377 216002 95892 11807.99 8190.06 52341.88 56302.76
1676375842 63688891 46453200 24488008 55277062 32756884 26481429 216002 95892 11807.51 8190.72 52341.86 56302.10
1676375852 63688891 46453200 24488008 55277062 32756957 26481492 216002 95892 11808.34 8189.41 52339.93 56303.58
1676375862 63688891 46453200 24488008 55277062 32757033 26481552 216002 95892 11808.73 8190.00 52340.61 56303.29
1676375873 63688891 46453200 24488008 55277062 32757118 26481603 216002 95892 11808.64 8190.94 52340.59 56303.04
1676375883 63688891 46453200 24488008 55277062 32757189 26481664 216002 95892 11807.80 8190.91 52340.47 56302.72
1676375893 63688891 46453200 24488008 55277062 32757265 26481723 216002 95892 11807.55 8190.16 52342.39 56303.23
1676375904 63688891 46453200 24488008 55277062 32757353 26481771 216002 95892 11805.18 8193.18 52343.32 56300.66
1676375914 63688891 46453200 24488008 55277062 32757437 26481822 216002 95892 11807.70 8193.27 52342.04 56299.72
1676375924 63688891 46453200 24488008 55277062 32757523 26481872 216002 95892 11807.73 8191.26 52342.08 56302.25
1676375935 63688891 46453200 24488008 55277062 32757598 26481932 216002 95892 11806.81 8191.78 52342.41 56301.68
1676375945 63688891 46453200 24488008 55277062 32757673 26481992 216002 95892 11808.34 8191.02 52340.43 56302.42
1676375955 63689582 46453436 24488008 55277062 32757892 26482066 216002 95892 11641.73 8251.75 52508.54 56242.06
1676375965 63690546 46453840 24488008 55277062 32758189 26482135 216002 95892 11452.54 8279.59 52696.68 56214.28
1676375976 63692152 46454036 24488008 55277062 32759012 26487988 216002 95892 10664.46 2506.41 53485.34 61992.28
1676375986 63696817 46454810 24488008 55277062 32760267 26489251 216002 95892 9504.94 2142.18 54645.32 62351.75
1676375996 63696817 46454810 24488008 55277062 32760343 26489312 216002 95892 9502.34 2140.27 54646.41 62354.19
1676376007 63696817 46454810 24488008 55277062 32760425 26489374 216002 95892 9501.53 2140.72 54646.85 62353.13
1676376017 63696817 46454810 24488008 55277062 32760499 26489434 216002 95892 9502.72 2139.38 54646.14 62353.81
1676376027 63696817 46454810 24488008 55277062 32760572 26489498 216002 95892 9504.16 2139.85 54645.68 62353.99
1676376038 63696817 46454810 24488008 55277062 32760658 26489547 216002 95892 9502.88 2141.65 54646.90 62351.34
1676376048 63696817 46454810 24488008 55277062 32760731 26489610 216002 95892 9503.08 2140.49 54646.30 62352.80
1676376058 63696817 46454810 24488008 55277062 32760818 26489656 216002 95892 9503.17 2139.89 54645.58 62353.03
1676376069 63696817 46454810 24488008 55277062 32760891 26489726 216002 95892 9504.85 2139.64 54644.95 62352.88
1676376079 63696817 46454810 24488008 55277062 32760966 26489786 216002 95892 9504.45 2139.09 54644.80 62353.32
1676376089 63696817 46454810 24488008 55277062 32761049 26489838 216002 95892 9503.57 2142.74 54645.82 62350.15
1676376099 63696817 46454810 24488008 55277062 32761133 26489890 216002 95892 9504.16 2142.42 54645.60 62351.05
1676376110 63696817 46454810 24488008 55277062 32761213 26489942 216002 95892 9503.70 2142.36 54646.08 62352.00
1676376120 63696817 46454810 24488008 55277062 32761281 26490010 216002 95892 9504.38 2141.73 54645.51 62351.09
1676376130 63696817 46454810 24488008 55277062 32761353 26490072 216002 95892 9504.58 2141.12 54645.27 62352.17
1676376141 63696817 46454810 24488008 55277062 32761438 26490123 216002 95892 9503.77 2142.89 54646.03 62351.09
1676376151 63696817 46454810 24488008 55277062 32761510 26490189 216002 95892 9504.12 2141.52 54645.10 62352.35
1676376161 63696817 46454810 24488008 55277062 32761584 26490253 216002 95892 9504.41 2139.65 54644.98 62354.22
1676376172 63696820 46454812 24488008 55277062 32761670 26490303 216002 95892 9503.55 2140.41 54645.78 62353.05
1676376182 63696820 46454812 24488008 55277062 32761753 26490356 216002 95892 9504.91 2140.71 54644.95 62352.58
1676376192 63696820 46454812 24488008 55277062 32761827 26490420 216002 95892 9503.50 2142.48 54646.76 62351.92
1676376203 63696820 46454812 24488008 55277062 32761900 26490484 216002 95892 9504.62 2140.54 54644.60 62352.91
1676376213 63696820 46454812 24488008 55277062 32761978 26490538 216002 95892 9503.16 2141.35 54646.29 62352.43
1676376223 63696820 46454812 24488008 55277062 32762067 26490588 216002 95892 9503.82 2142.50 54645.88 62351.96
1676376234 63696820 46454812 24488008 55277062 32762138 26490651 216002 95892 9504.70 2141.79 54645.21 62351.51
1676376244 63696820 46454812 24488008 55277062 32762223 26490704 216002 95892 9502.68 2141.08 54647.12 62351.91
1676376254 63696820 46454812 24488008 55277062 32762310 26490756 216002 95892 9503.89 2140.70 54645.95 62352.59
1676376265 63696820 46454812 24488008 55277062 32762383 26490819 216002 95892 9504.28 2141.32 54645.19 62352.01
1676376275 63696820 46454812 24488008 55277062 32762464 26490874 216002 95892 9502.08 2143.46 54648.25 62350.30
1676376285 63696820 46454812 24488008 55277062 32762552 26490924 216002 95892 9504.62 2140.46 54644.12 62352.92
1676376296 63696820 46454812 24488008 55277062 32762633 26490978 216002 95892 9502.53 2141.23 54646.88 62352.55
1676376306 63696820 46454812 24488008 55277062 32762712 26491038 216002 95892 9503.13 2141.27 54646.09 62352.67
1676376316 63696820 46454812 24488008 55277062 32762790 26491092 216002 95892 9503.10 2142.62 54647.28 62351.16
1676376327 63696820 46454812 24488008 55277062 32762876 26491144 216002 95892 9622.18 2339.31 54527.71 62153.51
1676376337 63696820 46454812 24488008 55277062 32762950 26491214 216002 95892 9626.40 2556.82 54523.01 61936.99
1676376347 63696820 46454812 24488008 55277062 32763037 26491262 216002 95892 9636.79 2644.39 54512.97 61849.04
