time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676375397        0                 551               0                 25208773          27124469          0                 0                 1915999566107     496027684537      0                 0                
1676375408        0                 551               0                 25212156          27127772          0                 0                 1916001523772     496029145836      0                 0                
1676375418        0                 551               0                 25212805          27128401          0                 0                 1916001957095     496029506733      0                 0                
1676375428        0                 551               0                 25219547          27135141          0                 0                 1916004721357     496119775615      0                 0                
1676375439        0                 551               0                 25227509          27143102          0                 0                 1916008125477     496167125582      0                 0                
1676375449        0                 551               0                 25236984          27152576          0                 0                 1916012365645     496204059084      0                 0                
1676375459        0                 551               0                 25243430          27159020          0                 0                 1916015209176     496238384110      0                 0                
1676375469        0                 551               0                 25243917          27159507          0                 0                 1916015459606     496239974390      0                 0                
1676375480        0                 551               0                 25244271          27159861          0                 0                 1916015669800     496240104750      0                 0                
1676375490        0                 551               0                 25244715          27160304          0                 0                 1916015884931     496240252070      0                 0                
1676375500        0                 551               0                 25245053          27160641          0                 0                 1916016076321     496240379038      0                 0                
1676375511        0                 551               0                 25245392          27160979          0                 0                 1916016267712     496240506070      0                 0                
1676375521        0                 551               0                 25245848          27161434          0                 0                 1916016503017     496240655950      0                 0                
1676375531        0                 551               0                 25246187          27161772          0                 0                 1916016694407     496240782982      0                 0                
1676375542        0                 551               0                 25246633          27162217          0                 0                 1916016911777     496240930718      0                 0                
1676375552        0                 551               0                 25246974          27162557          0                 0                 1916017107670     496241058166      0                 0                
1676375562        0                 551               0                 25247323          27162906          0                 0                 1916017319189     496241187630      0                 0                
1676375572        0                 551               0                 25247775          27163357          0                 0                 1916017536300     496241579257      0                 0                
1676375583        0                 551               0                 25248122          27163703          0                 0                 1916017732186     496241883005      0                 0                
1676375593        0                 551               0                 25248566          27164147          0                 0                 1916017953276     496242030421      0                 0                
1676375603        0                 551               0                 25248914          27164495          0                 0                 1916018164067     496242159693      0                 0                
1676375614        0                 551               0                 25249252          27164832          0                 0                 1916018354930     496242286533      0                 0                
1676375624        0                 551               0                 25249697          27165276          0                 0                 1916018572660     496242434077      0                 0                
1676375634        0                 551               0                 25250037          27165616          0                 0                 1916018768530     496242561525      0                 0                
1676375645        0                 551               0                 25250490          27166069          0                 0                 1916019002713     496242710957      0                 0                
1676375655        0                 551               0                 25250828          27166406          0                 0                 1916019193576     496242837797      0                 0                
1676375665        0                 551               0                 25251274          27166851          0                 0                 1916019411966     496242985533      0                 0                
1676375676        0                 551               0                 25251614          27167191          0                 0                 1916019609969     496243112981      0                 0                
1676375686        0                 551               0                 25251960          27167539          0                 0                 1916019824400     496243242253      0                 0                
1676375696        0                 551               0                 25252408          27167986          0                 0                 1916020043413     496243390349      0                 0                
1676375707        0                 551               0                 25252745          27168322          0                 0                 1916020238071     496243517053      0                 0                
1676375717        0                 551               0                 25253201          27168778          0                 0                 1916020471188     496243666933      0                 0                
1676375727        0                 551               0                 25253538          27169114          0                 0                 1916020662051     496243793709      0                 0                
1676375737        0                 551               0                 25253878          27169453          0                 0                 1916020857236     496243920965      0                 0                
1676375748        0                 551               0                 25254322          27169897          0                 0                 1916021078290     496244068509      0                 0                
1676375758        0                 551               0                 25254671          27170246          0                 0                 1916021287223     496244197845      0                 0                
1676375768        0                 551               0                 25255114          27170688          0                 0                 1916021501830     496244344973      0                 0                
