#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676375397        0.970016          0.970016          0.025375          0.025375          0.000000          23.587200         0.025375         
1676375407        0.970016          0.705856          0.025375          0.024822          0.000000          23.577200         0.025375         
1676375418        0.970016          0.828438          0.031391          0.031391          0.000000          23.574400         0.031391         
1676375428        2.180060          2.180060          0.195091          0.195091          0.000000          23.398100         0.195091         
1676375438        2.278650          2.278650          0.256908          0.256908          0.000000          23.130900         0.256908         
1676375449        2.385650          2.385650          0.292183          0.292183          0.000000          23.019600         0.292183         
1676375459        36.953400         36.953400         1.665400          1.665400          0.000000          21.561700         1.665400         
1676375469        98.273700         98.273700         3.505080          3.505080          0.000000          19.719100         3.505080         
1676375480        98.276900         98.276900         3.514390          3.514390          0.000000          19.710500         3.514390         
1676375490        98.282800         98.282800         3.521450          3.521450          0.000000          19.705000         3.521450         
1676375500        98.288700         98.288700         3.542980          3.542980          0.000000          19.681300         3.542980         
1676375510        98.294100         98.294100         3.555930          3.555930          0.000000          19.667900         3.555930         
1676375521        98.296600         98.296600         3.563360          3.563360          0.000000          19.658300         3.563360         
1676375531        98.301500         98.301500         3.577870          3.577870          0.000000          19.645000         3.577870         
1676375541        98.304200         98.304200         3.583280          3.583280          0.000000          19.642900         3.583280         
1676375552        98.348100         98.348100         3.671280          3.671280          0.000000          19.551500         3.671280         
1676375562        98.357600         98.357600         3.722450          3.722450          0.000000          19.498500         3.722450         
1676375572        98.400800         98.400800         3.747970          3.747970          0.000000          19.477300         3.747970         
1676375583        98.410900         98.410900         3.765170          3.765170          0.000000          19.452900         3.765170         
1676375593        98.410900         98.410900         3.765170          3.765170          0.000000          19.451600         3.765170         
1676375603        98.410900         98.410900         3.765170          3.765170          0.000000          19.451400         3.765170         
1676375614        98.410900         98.410900         3.773190          3.773190          0.000000          19.444100         3.773190         
1676375624        98.410900         98.410900         3.786950          3.786950          0.000000          19.429500         3.786950         
1676375634        98.414600         98.414600         3.810540          3.810540          0.000000          19.406000         3.810540         
1676375644        98.449900         98.449900         3.870300          3.870300          0.000000          19.345800         3.870300         
