#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676375397        0.970016          0.970016          0.025368          0.025368          0.000000          23.618700         0.025368         
1676375407        0.970016          0.970016          0.025425          0.025425          0.000000          23.612700         0.025425         
1676375417        0.970016          0.828438          0.031387          0.031387          0.000000          23.604300         0.031387         
1676375428        2.164440          2.164440          0.189514          0.189514          0.000000          23.448300         0.189514         
1676375438        2.272270          2.272270          0.258564          0.258564          0.000000          23.162500         0.258564         
1676375448        2.377950          2.377950          0.292614          0.292614          0.000000          23.054600         0.292614         
1676375459        36.956400         36.956400         1.667470          1.667470          0.000000          21.593700         1.667470         
1676375469        98.271800         98.271800         3.502070          3.502070          0.000000          19.751800         3.502070         
1676375479        98.274900         98.274900         3.510510          3.510510          0.000000          19.742300         3.510510         
1676375490        98.280900         98.280900         3.520020          3.520020          0.000000          19.734500         3.520020         
1676375500        98.321900         98.321900         3.554130          3.554130          0.000000          19.699800         3.554130         
1676375510        98.327300         98.327300         3.570920          3.570920          0.000000          19.682500         3.570920         
1676375520        98.330000         98.330000         3.580470          3.580470          0.000000          19.672200         3.580470         
1676375531        98.334700         98.334700         3.594310          3.594310          0.000000          19.656500         3.594310         
1676375541        98.337400         98.337400         3.605490          3.605490          0.000000          19.648300         3.605490         
1676375551        98.379300         98.379300         3.730110          3.730110          0.000000          19.521300         3.730110         
1676375562        98.382900         98.382900         3.760360          3.760360          0.000000          19.492000         3.760360         
1676375572        98.428200         98.428200         3.808720          3.808720          0.000000          19.441500         3.808720         
1676375582        98.438000         98.438000         3.821890          3.821890          0.000000          19.422000         3.821890         
1676375593        98.438000         98.438000         3.821890          3.821890          0.000000          19.421500         3.821890         
1676375603        98.438000         98.438000         3.821890          3.821890          0.000000          19.418400         3.821890         
1676375613        98.438300         98.438300         3.829570          3.829570          0.000000          19.413100         3.829570         
1676375623        98.438300         98.438300         3.851440          3.851440          0.000000          19.392500         3.851440         
