#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375397 96882242 72664610 9776672 12695268 30372861 24110219 49747 38361 11164.24 12987.86 52969.88 51521.15
1676375408 96882242 72664610 9776672 12695268 30373470 24110855 49747 38361 11159.80 12981.47 52974.29 51528.97
1676375418 96882242 72664610 9776672 12695268 30373559 24110949 49747 38361 11156.66 12982.86 52976.14 51526.05
1676375428 96882288 72664616 9776672 12695268 30373805 24111035 49747 38361 10973.54 12982.04 53159.67 51526.40
1676375438 96882288 72664616 9776672 12695268 30374129 24111117 49747 38361 10700.94 12983.50 53433.28 51524.95
1676375449 96882402 72664630 9776672 12695268 30374302 24111185 49747 38361 10587.60 12983.02 53546.00 51526.01
1676375459 96882644 72664692 9776672 12695268 30374697 24112089 49747 38361 10223.45 11853.14 53910.37 52655.78
1676375469 96885479 72666266 9776672 12695268 30374782 24112818 49747 38361 10240.08 9950.61 53893.62 54558.50
1676375480 96885687 72666336 9776672 12695268 30374846 24112943 49747 38361 10277.66 9904.84 53855.95 54604.16
1676375490 96885756 72666366 9776672 12695268 30374905 24113027 49747 38361 10278.37 9898.25 53856.35 54611.19
1676375500 96885813 72666372 9776672 12695268 30374982 24113113 49747 38361 10266.52 9885.16 53866.64 54624.24
1676375511 96885823 72666376 9776672 12695268 30375060 24113186 49747 38361 10260.17 9879.95 53873.45 54629.49
1676375521 96885988 72666460 9776672 12695268 30375129 24113264 49747 38361 10253.07 9876.41 53881.16 54633.02
1676375531 96885999 72666464 9776672 12695268 30375210 24113340 49747 38361 10238.83 9875.52 53895.39 54633.46
1676375541 96886110 72666498 9776672 12695268 30375272 24113422 49747 38361 10238.32 9873.86 53894.79 54635.15
1676375552 96886158 72666532 9776672 12695268 30375367 24113548 49747 38361 10188.45 9831.54 53946.18 54677.06
1676375562 96886263 72666582 9776672 12695268 30375458 24113643 49747 38361 10145.30 9820.47 53988.95 54688.98
1676375572 96886400 72666602 9776672 12695268 30375547 24113722 49747 38361 10120.14 9822.89 54013.58 54686.02
1676375583 96886531 72666656 9776672 12695268 30375609 24113874 49747 38361 10171.29 9747.34 53962.89 54762.05
1676375593 96886531 72666656 9776672 12695268 30375659 24113955 49747 38361 10170.64 9747.62 53963.59 54761.88
1676375603 96886531 72666656 9776672 12695268 30375717 24114032 49747 38361 10171.18 9744.91 53963.47 54764.19
1676375614 96886801 72666730 9776672 12695268 30375780 24114115 49747 38361 10170.37 9739.28 53964.26 54769.79
1676375624 96886808 72666734 9776672 12695268 30375856 24114203 49747 38361 10163.80 9731.35 53970.32 54778.64
1676375634 96886873 72666764 9776672 12695268 30375939 24114308 49747 38361 10162.92 9708.88 53972.40 54800.56
1676375645 96887108 72666814 9776672 12695268 30376070 24114397 49747 38361 10113.67 9695.22 54019.46 54813.38
1676375655 96887108 72666814 9776672 12695268 30376120 24114481 49747 38361 10114.75 9695.03 54019.55 54813.89
1676375665 96887108 72666814 9776672 12695268 30376174 24114564 49747 38361 10113.94 9693.53 54019.19 54815.38
1676375675 96887108 72666814 9776672 12695268 30376237 24114635 49747 38361 10115.39 9694.25 54018.75 54814.72
1676375686 96887108 72666814 9776672 12695268 30376300 24114705 49747 38361 10113.56 9695.52 54019.14 54813.94
1676375696 96887108 72666814 9776672 12695268 30376354 24114788 49747 38361 10113.49 9693.99 54019.72 54814.45
1676375706 96887108 72666814 9776672 12695268 30376419 24114857 49747 38361 10113.60 9695.06 54019.05 54813.85
1676375717 96887108 72666814 9776672 12695268 30376468 24114940 49747 38361 10113.71 9694.11 54020.37 54815.47
1676375727 96887108 72666814 9776672 12695268 30376522 24115022 49747 38361 10115.28 9692.06 54018.46 54817.33
1676375737 96887108 72666814 9776672 12695268 30376575 24115105 49747 38361 10114.64 9695.57 54019.59 54813.90
1676375748 96887108 72666814 9776672 12695268 30376630 24115184 49747 38361 10115.12 9695.08 54019.18 54814.39
1676375758 96887108 72666814 9776672 12695268 30376698 24115252 49747 38361 10114.93 9696.28 54019.20 54812.80
1676375768 96887108 72666814 9776672 12695268 30376748 24115337 49747 38361 10116.71 9694.28 54017.37 54815.79
1676375779 96887108 72666814 9776672 12695268 30376801 24115418 49747 38361 10116.16 9693.33 54018.00 54815.23
1676375789 96887108 72666814 9776672 12695268 30376853 24115501 49747 38361 10117.03 9692.74 54016.57 54816.87
1676375799 96887108 72666814 9776672 12695268 30376913 24115578 49747 38361 10117.00 9693.25 54017.14 54815.37
1676375810 96887108 72666814 9776672 12695268 30376963 24115662 49747 38361 10115.38 9693.64 54018.38 54815.84
1676375820 96887108 72666814 9776672 12695268 30377030 24115733 49747 38361 10112.63 9695.14 54020.21 54813.78
1676375830 96887108 72666814 9776672 12695268 30377090 24115806 49747 38361 10113.97 9695.95 54019.63 54813.60
1676375840 96887108 72666814 9776672 12695268 30377140 24115891 49747 38361 10114.61 9694.35 54019.47 54815.13
1676375851 96887108 72666814 9776672 12695268 30377192 24115974 49747 38361 10113.70 9694.62 54019.43 54815.31
1676375861 96887108 72666814 9776672 12695268 30377245 24116054 49747 38361 10116.04 9693.62 54018.14 54814.96
1676375871 96887108 72666814 9776672 12695268 30377303 24116134 49747 38361 10116.38 9692.11 54017.19 54816.34
1676375882 96887108 72666814 9776672 12695268 30377364 24116209 49747 38361 10113.65 9692.55 54019.48 54816.52
1676375892 96887108 72666814 9776672 12695268 30377416 24116293 49747 38361 10114.95 9693.68 54019.20 54815.86
1676375902 96887108 72666814 9776672 12695268 30377470 24116374 49747 38361 10115.07 9694.46 54018.71 54814.08
1676375913 96887108 72666814 9776672 12695268 30377538 24116442 49747 38361 10114.75 9693.09 54018.86 54816.04
1676375923 96887108 72666814 9776672 12695268 30377597 24116519 49747 38361 10115.04 9693.82 54018.59 54815.70
1676375933 96887108 72666814 9776672 12695268 30377652 24116604 49747 38361 10116.23 9693.40 54017.38 54816.15
1676375944 96887108 72666814 9776672 12695268 30377702 24116689 49747 38361 10114.07 9693.19 54019.13 54815.25
1676375954 96887442 72666856 9776672 12695268 30377910 24116789 49747 38361 9979.53 9724.58 54154.21 54784.84
1676375964 96888301 72666914 9776672 12695268 30378029 24116905 49747 38361 9958.41 9688.37 54175.75 54820.41
1676375975 96888878 72667044 9776672 12695268 30380172 24121006 49747 38361 7748.45 5699.07 56392.41 58810.45
1676375985 96893688 72667936 9776672 12695268 30381160 24122358 49747 38361 6715.30 4784.17 57418.30 59725.33
1676375995 96893688 72667936 9776672 12695268 30381222 24122434 49747 38361 6713.82 4783.82 57420.93 59725.57
1676376006 96893688 72667936 9776672 12695268 30381292 24122508 49747 38361 6713.19 4784.87 57420.61 59724.63
1676376016 96893688 72667936 9776672 12695268 30381353 24122581 49747 38361 6712.77 4784.94 57420.83 59724.61
1676376026 96893688 72667936 9776672 12695268 30381407 24122664 49747 38361 6712.15 4783.25 57422.14 59725.19
1676376036 96893688 72667936 9776672 12695268 30381475 24122732 49747 38361 6712.11 4786.14 57421.56 59722.77
1676376047 96893688 72667936 9776672 12695268 30381540 24122802 49747 38361 6711.19 4785.44 57422.41 59724.11
1676376057 96893688 72667936 9776672 12695268 30381603 24122874 49747 38361 6713.14 4785.02 57420.56 59723.42
1676376067 96893688 72667936 9776672 12695268 30381669 24122953 49747 38361 6710.66 4784.96 57422.63 59723.95
1676376078 96893688 72667936 9776672 12695268 30381736 24123022 49747 38361 6711.48 4785.80 57421.64 59724.24
1676376088 96893688 72667936 9776672 12695268 30381788 24123104 49747 38361 6713.15 4785.19 57420.12 59723.72
1676376098 96893688 72667936 9776672 12695268 30381854 24123176 49747 38361 6712.33 4787.14 57422.79 59721.98
1676376109 96893688 72667936 9776672 12695268 30381910 24123254 49747 38361 6713.42 4784.03 57419.71 59725.96
1676376119 96893688 72667936 9776672 12695268 30381961 24123341 49747 38361 6714.13 4784.66 57420.02 59725.27
1676376129 96893688 72667936 9776672 12695268 30382022 24123413 49747 38361 6712.76 4785.16 57421.46 59724.39
1676376140 96893688 72667936 9776672 12695268 30382083 24123487 49747 38361 6713.50 4784.91 57421.23 59723.07
1676376150 96893688 72667936 9776672 12695268 30382147 24123559 49747 38361 6712.73 4787.07 57421.54 59721.84
1676376160 96893688 72667936 9776672 12695268 30382211 24123633 49747 38361 6710.64 4786.40 57423.47 59722.68
1676376171 96893691 72667936 9776672 12695268 30382260 24123720 49747 38361 6711.96 4786.75 57422.17 59723.24
1676376181 96893691 72667936 9776672 12695268 30382322 24123793 49747 38361 6711.73 4787.93 57421.87 59721.59
1676376191 96893691 72667936 9776672 12695268 30382384 24123868 49747 38361 6711.25 4787.53 57422.45 59721.49
1676376202 96893691 72667936 9776672 12695268 30382454 24123932 49747 38361 6710.36 4787.15 57422.77 59721.96
1676376212 96893691 72667936 9776672 12695268 30382518 24124005 49747 38361 6710.43 4787.95 57423.17 59721.61
1676376222 96893691 72667936 9776672 12695268 30382566 24124094 49747 38361 6712.55 4785.28 57421.05 59723.29
1676376232 96893691 72667936 9776672 12695268 30382619 24124178 49747 38361 6711.11 4786.64 57422.02 59723.45
1676376243 96893691 72667936 9776672 12695268 30382671 24124261 49747 38361 6712.25 4786.90 57422.08 59721.54
1676376253 96893691 72667936 9776672 12695268 30382728 24124343 49747 38361 6713.18 4785.48 57421.44 59724.06
1676376263 96893691 72667936 9776672 12695268 30382779 24124429 49747 38361 6714.52 4786.66 57418.61 59723.89
1676376274 96893691 72667936 9776672 12695268 30382830 24124515 49747 38361 6713.66 4785.03 57419.94 59723.50
1676376284 96893691 72667936 9776672 12695268 30382877 24124601 49747 38361 6713.66 4785.04 57419.94 59723.00
1676376294 96893691 72667936 9776672 12695268 30382940 24124676 49747 38361 6713.18 4788.22 57421.54 59720.73
1676376305 96893691 72667936 9776672 12695268 30383008 24124745 49747 38361 6710.68 4787.58 57422.45 59721.88
1676376315 96893691 72667936 9776672 12695268 30383074 24124814 49747 38361 6711.92 4787.56 57422.32 59721.45
1676376325 96893691 72667936 9776672 12695268 30383144 24124882 49747 38361 6952.51 5345.27 57181.56 59162.95
1676376336 96893691 72667936 9776672 12695268 30383197 24124969 49747 38361 7130.55 5345.23 57003.05 59163.76
1676376346 96893691 72667936 9776672 12695268 30383251 24125052 49747 38361 7263.76 5348.91 56869.88 59159.62
1676376356 96893691 72667936 9776672 12695268 30383304 24125136 49747 38361 7309.01 5348.20 56824.59 59160.46
1676376367 96893691 72667936 9776672 12695268 30383358 24125220 49747 38361 7343.12 5351.05 56790.08 59158.44
1676376377 96893691 72667936 9776672 12695268 30383428 24125287 49747 38361 7342.40 5350.90 56791.68 59158.20
1676376387 96893691 72667936 9776672 12695268 30383479 24125373 49747 38361 7342.15 5351.02 56791.64 59157.89
1676376398 96893691 72667936 9776672 12695268 30383544 24125443 49747 38361 7342.14 5350.61 56792.02 59159.00
1676376408 96893691 72667936 9776672 12695268 30383594 24125529 49747 38361 7343.73 5350.55 56789.40 59158.52
1676376418 96893691 72667936 9776672 12695268 30383659 24125603 49747 38361 7342.18 5351.57 56792.38 59157.52
1676376429 96893691 72667936 9776672 12695268 30383710 24125688 49747 38361 7340.53 5352.05 56793.28 59156.86
1676376439 96893691 72667936 9776672 12695268 30383774 24125759 49747 38361 7343.13 5351.70 56790.47 59158.34
1676376449 96893691 72667936 9776672 12695268 30383827 24125844 49747 38361 7340.70 5350.72 56792.60 59158.20
1676376460 96893691 72667936 9776672 12695268 30383895 24125912 49747 38361 7341.20 5351.09 56791.93 59157.49
1676376470 96893691 72667936 9776672 12695268 30383948 24125993 49747 38361 7342.10 5350.42 56791.50 59158.65
1676376480 96893691 72667936 9776672 12695268 30384013 24126066 49747 38361 7398.61 5354.61 56734.68 59154.85
1676376490 96893691 72667936 9776672 12695268 30384079 24126137 49747 38361 7398.57 5354.78 56736.22 59154.65
1676376501 96893691 72667936 9776672 12695268 30384130 24126222 49747 38361 7399.76 5352.97 56734.46 59156.00
1676376511 96893691 72667936 9776672 12695268 30384199 24126290 49747 38361 7398.37 5355.38 56735.75 59154.63
