#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676375397        0.970161          0.970161          0.025520          0.025520          0.000000          20.909600         0.025520         
1676375408        0.970161          0.524296          0.025520          0.015091          0.000000          20.906200         0.025520         
1676375418        0.970161          0.718243          0.030655          0.030655          0.000000          20.893600         0.030655         
1676375428        2.181770          2.181770          0.197506          0.197506          0.000000          20.711100         0.197506         
1676375439        2.281090          2.281090          0.257183          0.257183          0.000000          20.454300         0.257183         
1676375449        2.390250          2.390250          0.292816          0.292816          0.000000          20.341400         0.292816         
1676375459        36.951200         36.951200         1.664050          1.664050          0.000000          18.886700         1.664050         
1676375469        98.270100         98.270100         3.502430          3.502430          0.000000          17.045100         3.502430         
1676375480        98.275900         98.275900         3.510770          3.510770          0.000000          17.034600         3.510770         
1676375490        98.280900         98.280900         3.519640          3.519640          0.000000          17.027200         3.519640         
1676375500        98.286700         98.286700         3.535710          3.535710          0.000000          17.008700         3.535710         
1676375511        98.292100         98.292100         3.552070          3.552070          0.000000          16.994900         3.552070         
1676375521        98.294600         98.294600         3.561780          3.561780          0.000000          16.981700         3.561780         
1676375531        98.299500         98.299500         3.574400          3.574400          0.000000          16.972300         3.574400         
1676375542        98.302000         98.302000         3.583910          3.583910          0.000000          16.961400         3.583910         
1676375552        98.343100         98.343100         3.648380          3.648380          0.000000          16.896300         3.648380         
1676375562        98.347300         98.347300         3.686810          3.686810          0.000000          16.858800         3.686810         
1676375572        98.386400         98.386400         3.698220          3.698220          0.000000          16.847000         3.698220         
1676375583        98.397300         98.397300         3.712280          3.712280          0.000000          16.827700         3.712280         
1676375593        98.397300         98.397300         3.712280          3.712280          0.000000          16.828200         3.712280         
1676375603        98.397300         98.397300         3.712280          3.712280          0.000000          16.826700         3.712280         
1676375614        98.397300         98.397300         3.719710          3.719710          0.000000          16.821600         3.719710         
1676375624        98.397600         98.397600         3.731360          3.731360          0.000000          16.812200         3.731360         
1676375634        98.401700         98.401700         3.758150          3.758150          0.000000          16.784800         3.758150         
1676375645        98.440100         98.440100         3.823180          3.823180          0.000000          16.719400         3.823180         
1676375655        98.440100         98.440100         3.823180          3.823180          0.000000          16.719200         3.823180         
1676375665        98.440100         98.440100         3.823180          3.823180          0.000000          16.719500         3.823180         
1676375676        98.440100         98.440100         3.823180          3.823180          0.000000          16.718300         3.823180         
1676375686        98.440100         98.440100         3.823180          3.823180          0.000000          16.716900         3.823180         
1676375696        98.440100         98.440100         3.823180          3.823180          0.000000          16.718100         3.823180         
1676375707        98.440100         98.440100         3.823180          3.823180          0.000000          16.715800         3.823180         
1676375717        98.440100         98.440100         3.823180          3.823180          0.000000          16.719200         3.823180         
1676375727        98.440100         98.440100         3.823180          3.823180          0.000000          16.718900         3.823180         
1676375738        98.440100         98.440100         3.823180          3.823180          0.000000          16.718800         3.823180         
1676375748        98.440100         98.440100         3.823180          3.823180          0.000000          16.718900         3.823180         
1676375758        98.440100         98.440100         3.823180          3.823180          0.000000          16.718700         3.823180         
1676375768        98.440100         98.440100         3.823190          3.823190          0.000000          16.718200         3.823190         
1676375779        98.440100         98.440100         3.823190          3.823190          0.000000          16.719200         3.823190         
1676375789        98.440100         98.440100         3.823190          3.823190          0.000000          16.717800         3.823190         
1676375799        98.440100         98.440100         3.823190          3.823190          0.000000          16.719000         3.823190         
1676375810        98.440100         98.440100         3.823190          3.823190          0.000000          16.718900         3.823190         
1676375820        98.440100         98.440100         3.823190          3.823190          0.000000          16.718400         3.823190         
1676375830        98.440100         98.440100         3.823190          3.823190          0.000000          16.719100         3.823190         
1676375841        98.440100         98.440100         3.823190          3.823190          0.000000          16.719200         3.823190         
1676375851        98.440100         98.440100         3.823190          3.823190          0.000000          16.717500         3.823190         
1676375861        98.440100         98.440100         3.823190          3.823190          0.000000          16.718300         3.823190         
1676375872        98.440100         98.440100         3.823190          3.823190          0.000000          16.717200         3.823190         
1676375882        98.440100         98.440100         3.823190          3.823190          0.000000          16.717700         3.823190         
1676375892        98.440100         98.440100         3.823190          3.823190          0.000000          16.716600         3.823190         
1676375903        98.440100         98.440100         3.823190          3.823190          0.000000          16.718100         3.823190         
1676375913        98.440100         98.440100         3.823190          3.823190          0.000000          16.717800         3.823190         
1676375923        98.440100         98.440100         3.823200          3.823200          0.000000          16.718200         3.823200         
1676375934        98.440100         98.440100         3.823200          3.823200          0.000000          16.716500         3.823200         
1676375944        98.440100         98.440100         3.823200          3.823200          0.000000          16.718900         3.823200         
1676375954        98.531900         98.531900         3.928580          3.928580          0.000000          16.611900         3.928580         
1676375965        98.555400         98.555400         3.982080          3.982080          0.000000          16.560500         3.982080         
1676375975        104.248000        104.248000        9.913860          9.913860          0.000000          10.586800         9.913860         
1676375985        109.178000        109.178000        12.112900         12.112900         0.000000          8.546760          12.112900        
1676375995        109.178000        109.178000        12.112900         12.112900         0.000000          8.545050          12.112900        
1676376006        109.178000        109.178000        12.112900         12.112900         0.000000          8.544040          12.112900        
1676376016        109.178000        109.178000        12.112900         12.112900         0.000000          8.543770          12.112900        
1676376026        109.178000        109.178000        12.112900         12.112900         0.000000          8.542270          12.112900        
1676376037        109.178000        109.178000        12.112900         12.112900         0.000000          8.542080          12.112900        
1676376047        109.178000        109.178000        12.112900         12.112900         0.000000          8.543530          12.112900        
1676376057        109.178000        109.178000        12.112900         12.112900         0.000000          8.542280          12.112900        
1676376068        109.178000        109.178000        12.112900         12.112900         0.000000          8.544380          12.112900        
1676376078        109.178000        109.178000        12.112900         12.112900         0.000000          8.543020          12.112900        
1676376088        109.178000        109.178000        12.112900         12.112900         0.000000          8.542760          12.112900        
1676376099        109.178000        109.178000        12.112900         12.112900         0.000000          8.543870          12.112900        
1676376109        109.178000        109.178000        12.112900         12.112900         0.000000          8.542750          12.112900        
1676376119        109.178000        109.178000        12.112900         12.112900         0.000000          8.543790          12.112900        
1676376129        109.178000        109.178000        12.112900         12.112900         0.000000          8.542450          12.112900        
1676376140        109.178000        109.178000        12.112900         12.112900         0.000000          8.544380          12.112900        
1676376150        109.178000        109.178000        12.112900         12.112900         0.000000          8.543460          12.112900        
1676376160        109.178000        109.178000        12.112900         12.112900         0.000000          8.544110          12.112900        
1676376171        109.178000        109.178000        12.112900         12.112900         0.000000          8.544420          12.112900        
1676376181        109.178000        109.178000        12.112900         12.112900         0.000000          8.544050          12.112900        
1676376191        109.178000        109.178000        12.112900         12.112900         0.000000          8.543550          12.112900        
1676376202        109.178000        109.178000        12.112900         12.112900         0.000000          8.542220          12.112900        
1676376212        109.178000        109.178000        12.112900         12.112900         0.000000          8.542370          12.112900        
