#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375397 58138074 41325740 3614775 10919473 35352485 27653640 42723 14354 12993.62 11191.34 51140.08 53318.05
1676375407 58138074 41325740 3614775 10919473 35353129 27654250 42723 14354 12990.66 11187.48 51143.04 53321.93
1676375417 58138074 41325740 3614775 10919473 35353226 27654345 42723 14354 12982.68 11185.87 51151.14 53324.02
1676375428 58138121 41325748 3614775 10919473 35353349 27654547 42723 14354 12968.44 11040.23 51165.39 53468.68
1676375438 58138121 41325748 3614775 10919473 35353436 27654891 42723 14354 12970.27 10746.55 51163.35 53763.00
1676375448 58138229 41325762 3614775 10919473 35353499 27655066 42723 14354 12971.16 10634.98 51163.14 53873.46
1676375459 58138471 41325824 3614775 10919473 35353899 27655948 42723 14354 12649.81 9460.00 51484.36 55049.41
1676375469 58138727 41325870 3614775 10919473 35354001 27656959 42723 14354 12639.99 7584.70 51494.84 56924.21
1676375479 58138727 41325870 3614775 10919473 35354089 27657020 42723 14354 12636.09 7577.94 51497.52 56931.14
1676375490 58138727 41325870 3614775 10919473 35354173 27657083 42723 14354 12633.47 7571.84 51499.79 56937.62
1676375500 58139689 41326388 3614775 10919473 35354278 27657153 42723 14354 12613.37 7557.39 51519.76 56951.22
1676375510 58141212 41327034 3614775 10919473 35354377 27657217 42723 14354 12602.50 7551.67 51531.93 56955.74
1676375521 58141477 41327096 3614775 10919473 35354469 27657274 42723 14354 12596.88 7546.77 51537.25 56962.25
1676375531 58141529 41327148 3614775 10919473 35354570 27657328 42723 14354 12590.46 7537.51 51543.66 56971.40
1676375541 58141659 41327172 3614775 10919473 35354660 27657390 42723 14354 12586.74 7532.00 51546.86 56977.98
1676375551 58141659 41327172 3614775 10919473 35354775 27657550 42723 14354 12528.11 7460.61 51604.61 57048.78
1676375562 58141714 41327208 3614775 10919473 35354882 27657652 42723 14354 12498.05 7459.61 51635.68 57049.42
1676375572 58141769 41327262 3614775 10919473 35354986 27657769 42723 14354 12473.45 7433.42 51660.65 57075.54
1676375582 58142150 41327320 3614775 10919473 35355111 27657835 42723 14354 12413.95 7472.08 51719.73 57036.36
1676375593 58142150 41327320 3614775 10919473 35355183 27657894 42723 14354 12414.78 7471.58 51718.88 57037.97
1676375603 58142150 41327320 3614775 10919473 35355259 27657951 42723 14354 12414.63 7470.76 51719.18 57038.16
1676375613 58142307 41327416 3614775 10919473 35355369 27658003 42723 14354 12360.09 7517.15 51774.07 56990.82
1676375624 58142413 41327430 3614775 10919473 35355483 27658105 42723 14354 12332.21 7525.29 51801.87 56984.75
1676375634 58142520 41327508 3614775 10919473 35355600 27658220 42723 14354 12281.55 7551.20 51852.05 56957.31
1676375644 58142520 41327508 3614775 10919473 35355757 27658331 42723 14354 12181.74 7579.31 51952.89 56929.74
1676375654 58142520 41327508 3614775 10919473 35355834 27658389 42723 14354 12181.90 7578.70 51951.81 56929.79
1676375665 58142520 41327508 3614775 10919473 35355915 27658441 42723 14354 12179.22 7580.53 51953.43 56928.93
1676375675 58142520 41327508 3614775 10919473 35355989 27658503 42723 14354 12180.26 7579.50 51954.03 56928.98
1676375685 58142520 41327508 3614775 10919473 35356069 27658555 42723 14354 12179.77 7581.62 51954.00 56927.83
1676375696 58142520 41327508 3614775 10919473 35356152 27658607 42723 14354 12180.38 7580.34 51953.31 56928.15
1676375706 58142520 41327508 3614775 10919473 35356222 27658672 42723 14354 12179.76 7580.14 51953.98 56928.88
1676375716 58142520 41327508 3614775 10919473 35356307 27658723 42723 14354 12181.62 7580.36 51951.51 56929.62
1676375727 58142520 41327508 3614775 10919473 35356383 27658782 42723 14354 12181.31 7579.35 51952.93 56930.07
1676375737 58142520 41327508 3614775 10919473 35356455 27658843 42723 14354 12181.60 7578.88 51951.53 56930.67
1676375747 58142520 41327508 3614775 10919473 35356526 27658907 42723 14354 12181.19 7579.73 51952.49 56929.77
1676375758 58142520 41327508 3614775 10919473 35356605 27658965 42723 14354 12181.66 7579.69 51952.02 56929.35
1676375768 58142520 41327508 3614775 10919473 35356673 27659031 42723 14354 12182.10 7579.65 51951.50 56928.88
1676375778 58142520 41327508 3614775 10919473 35356746 27659095 42723 14354 12180.86 7577.58 51951.80 56931.39
1676375789 58142520 41327508 3614775 10919473 35356821 27659151 42723 14354 12183.33 7578.66 51950.81 56930.81
1676375799 58142520 41327508 3614775 10919473 35356904 27659203 42723 14354 12181.95 7578.41 51952.71 56930.18
1676375809 58142520 41327508 3614775 10919473 35356989 27659255 42723 14354 12179.37 7580.83 51952.42 56928.08
1676375819 58142520 41327508 3614775 10919473 35357074 27659307 42723 14354 12181.95 7580.21 51951.81 56928.75
1676375830 58142520 41327508 3614775 10919473 35357157 27659359 42723 14354 12180.21 7581.39 51954.03 56927.05
1676375840 58142520 41327508 3614775 10919473 35357227 27659424 42723 14354 12180.94 7580.60 51952.66 56929.03
1676375850 58142520 41327508 3614775 10919473 35357296 27659490 42723 14354 12181.38 7579.16 51952.80 56929.80
1676375861 58142520 41327508 3614775 10919473 35357368 27659556 42723 14354 12182.49 7580.85 51952.16 56929.22
1676375871 58142520 41327508 3614775 10919473 35357444 27659613 42723 14354 12180.13 7580.32 51953.58 56929.77
1676375881 58142520 41327508 3614775 10919473 35357524 27659672 42723 14354 12181.83 7580.84 51952.46 56928.54
1676375892 58142520 41327508 3614775 10919473 35357606 27659724 42723 14354 12181.75 7579.57 51951.93 56928.87
1676375902 58142520 41327508 3614775 10919473 35357689 27659775 42723 14354 12181.87 7581.10 51952.75 56928.90
1676375912 58142520 41327508 3614775 10919473 35357765 27659837 42723 14354 12182.28 7580.04 51951.80 56929.93
1676375923 58142520 41327508 3614775 10919473 35357838 27659899 42723 14354 12181.03 7580.76 51951.69 56928.30
1676375933 58142520 41327508 3614775 10919473 35357909 27659961 42723 14354 12180.72 7580.78 51952.92 56928.70
1676375943 58142520 41327508 3614775 10919473 35357985 27660021 42723 14354 12179.86 7580.75 51954.06 56928.29
1676375953 58142695 41327534 3614775 10919473 35358071 27660206 42723 14354 12206.00 7456.17 51927.66 57052.37
1676375964 58142859 41327666 3614775 10919473 35358186 27660302 42723 14354 12150.50 7448.39 51982.70 57060.05
1676375974 58143305 41327700 3614775 10919473 35362253 27662136 42723 14354 8107.51 5646.57 56025.62 58863.94
1676375984 58148624 41328516 3614775 10919473 35363518 27663763 42723 14354 6898.88 4534.85 57235.84 59975.10
1676375995 58148624 41328516 3614775 10919473 35363601 27663815 42723 14354 6896.15 4536.48 57237.53 59972.91
1676376005 58148624 41328516 3614775 10919473 35363694 27663866 42723 14354 6896.32 4535.94 57237.84 59973.63
1676376015 58148624 41328516 3614775 10919473 35363772 27663925 42723 14354 6896.82 4535.03 57237.32 59973.59
1676376026 58148624 41328516 3614775 10919473 35363841 27663992 42723 14354 6897.93 4533.37 57235.77 59975.73
1676376036 58148624 41328516 3614775 10919473 35363915 27664053 42723 14354 6896.08 4534.06 57238.10 59975.50
1676376046 58148624 41328516 3614775 10919473 35363988 27664120 42723 14354 6897.47 4534.93 57236.16 59975.62
1676376057 58148880 41328586 3614775 10919473 35364062 27664180 42723 14354 6897.20 4534.96 57236.57 59973.96
1676376067 58148880 41328586 3614775 10919473 35364155 27664234 42723 14354 6897.42 4535.70 57236.37 59973.79
1676376077 58148881 41328586 3614775 10919473 35364240 27664283 42723 14354 6895.96 4535.50 57237.82 59973.43
1676376088 58148903 41328596 3614775 10919473 35364323 27664337 42723 14354 6895.51 4535.32 57238.66 59973.73
1676376098 58148903 41328596 3614775 10919473 35364392 27664405 42723 14354 6896.29 4535.88 57236.36 59973.12
1676376108 58148903 41328596 3614775 10919473 35364467 27664467 42723 14354 6897.59 4535.77 57236.18 59973.67
1676376118 58148903 41328596 3614775 10919473 35364543 27664528 42723 14354 6898.77 4536.89 57236.00 59973.07
1676376129 58148903 41328596 3614775 10919473 35364627 27664577 42723 14354 6896.59 4536.79 57238.18 59972.61
1676376139 58148903 41328596 3614775 10919473 35364717 27664623 42723 14354 6895.69 4538.21 57237.59 59971.29
1676376149 58148903 41328596 3614775 10919473 35364803 27664673 42723 14354 6897.44 4536.65 57235.76 59972.26
1676376160 58148903 41328596 3614775 10919473 35364882 27664727 42723 14354 6896.46 4537.13 57237.14 59971.37
1676376170 58148906 41328598 3614775 10919473 35364964 27664783 42723 14354 6896.33 4536.38 57237.27 59972.70
1676376180 58148906 41328598 3614775 10919473 35365038 27664846 42723 14354 6897.48 4535.73 57236.35 59973.18
1676376191 58148906 41328598 3614775 10919473 35365109 27664911 42723 14354 6897.85 4536.44 57235.75 59972.59
1676376201 58148906 41328598 3614775 10919473 35365192 27664963 42723 14354 6898.03 4536.29 57236.10 59972.79
1676376211 58148906 41328598 3614775 10919473 35365269 27665025 42723 14354 6898.57 4535.92 57235.56 59973.57
1676376222 58148906 41328598 3614775 10919473 35365355 27665075 42723 14354 6897.90 4537.56 57236.34 59972.43
1676376232 58148906 41328598 3614775 10919473 35365438 27665126 42723 14354 6898.13 4535.37 57235.00 59973.23
1676376242 58148906 41328598 3614775 10919473 35365520 27665181 42723 14354 6896.19 4537.37 57237.14 59971.55
1676376253 58148906 41328598 3614775 10919473 35365603 27665232 42723 14354 6897.55 4538.80 57236.25 59970.12
1676376263 58148906 41328598 3614775 10919473 35365688 27665282 42723 14354 6898.38 4538.08 57235.22 59972.01
1676376273 58148906 41328598 3614775 10919473 35365758 27665350 42723 14354 6899.61 4536.01 57234.00 59973.52
1676376284 58148906 41328598 3614775 10919473 35365839 27665407 42723 14354 6898.57 4535.72 57235.59 59973.38
1676376294 58148906 41328598 3614775 10919473 35365914 27665468 42723 14354 6898.23 4535.99 57234.97 59972.95
1676376304 58148906 41328598 3614775 10919473 35366000 27665519 42723 14354 6897.68 4536.98 57235.45 59972.07
1676376315 58148906 41328598 3614775 10919473 35366070 27665581 42723 14354 6898.86 4535.72 57235.79 59973.35
1676376325 58148906 41328598 3614775 10919473 35366142 27665648 42723 14354 7085.29 5120.30 57048.80 59389.25
1676376336 58148906 41328598 3614775 10919473 35366220 27665714 42723 14354 7086.31 5237.20 57047.77 59272.89
1676376346 58148906 41328598 3614775 10919473 35366291 27665780 42723 14354 7094.12 5407.02 57040.65 59101.90
1676376356 58148906 41328598 3614775 10919473 35366383 27665826 42723 14354 7093.92 5490.98 57039.68 59018.57
1676376367 58148906 41328598 3614775 10919473 35366456 27665890 42723 14354 7096.06 5532.54 57038.60 58975.49
1676376377 58149016 41328692 3614775 10919473 35366534 27665947 42723 14354 7095.01 5538.52 57038.66 58970.41
1676376387 58149016 41328692 3614775 10919473 35366608 27666011 42723 14354 7096.23 5537.76 57037.85 58971.12
1676376397 58149016 41328692 3614775 10919473 35366678 27666075 42723 14354 7094.50 5538.84 57040.25 58970.15
