time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1676375398        0                 197               0                 51586543          55765827          0                 8                 4859790957834     1114538108122     0                 1920             
1676375408        0                 197               0                 51590098          55769290          0                 8                 4859793003417     1114539690862     0                 1920             
1676375418        0                 197               0                 51590715          55769899          0                 8                 4859793414336     1114539994879     0                 1920             
1676375428        0                 197               0                 51597671          55776853          0                 8                 4859796247692     1114630971157     0                 1920             
1676375439        0                 197               0                 51605566          55784747          0                 8                 4859799620568     1114677927076     0                 1920             
1676375449        0                 197               0                 51615085          55794266          0                 8                 4859803888667     1114714808777     0                 1920             
1676375459        0                 197               0                 51621429          55800608          0                 8                 4859806713458     1114748857279     0                 1920             
1676375470        0                 197               0                 51621830          55801008          0                 8                 4859806941720     1114750430591     0                 1920             
1676375480        0                 197               0                 51622286          55801464          0                 8                 4859807175452     1114750580919     0                 1920             
1676375490        0                 197               0                 51622643          55801820          0                 8                 4859807383192     1114750711407     0                 1920             
1676375501        0                 197               0                 51623097          55802273          0                 8                 4859807615390     1114750861159     0                 1920             
1676375511        0                 197               0                 51623454          55802629          0                 8                 4859807826363     1114750991647     0                 1920             
1676375521        0                 197               0                 51623806          55802980          0                 8                 4859808038951     1114751121815     0                 1920             
1676375531        0                 197               0                 51624265          55803438          0                 8                 4859808276002     1114751271887     0                 1920             
1676375542        0                 197               0                 51624616          55803789          0                 8                 4859808491795     1114751402055     0                 1920             
1676375552        0                 197               0                 51625075          55804247          0                 8                 4859808727970     1114751552127     0                 1920             
1676375562        0                 197               0                 51625426          55804598          0                 8                 4859808942927     1114751682295     0                 1920             
1676375573        0                 197               0                 51625893          55805064          0                 8                 4859809180402     1114752076802     0                 1920             
1676375583        0                 197               0                 51626251          55805422          0                 8                 4859809396291     1114752383334     0                 1920             
1676375593        0                 197               0                 51626607          55805777          0                 8                 4859809607426     1114752513630     0                 1920             
1676375604        0                 197               0                 51627064          55806233          0                 8                 4859809843863     1114752663958     0                 1920             
1676375614        0                 197               0                 51627420          55806588          0                 8                 4859810058162     1114752794254     0                 1920             
1676375624        0                 197               0                 51627875          55807042          0                 8                 4859810297371     1114752944198     0                 1920             
1676375635        0                 197               0                 51628230          55807397          0                 8                 4859810514898     1114753074494     0                 1920             
1676375645        0                 197               0                 51628579          55807747          0                 8                 4859810734057     1114753204470     0                 1920             
1676375655        0                 197               0                 51629040          55808208          0                 8                 4859810974462     1114753355118     0                 1920             
1676375665        0                 197               0                 51629391          55808558          0                 8                 4859811188641     1114753485094     0                 1920             
1676375676        0                 197               0                 51629850          55809017          0                 8                 4859811427834     1114753635358     0                 1920             
1676375686        0                 197               0                 51630199          55809367          0                 8                 4859811645241     1114753765334     0                 1920             
1676375696        0                 197               0                 51630554          55809722          0                 8                 4859811860166     1114753895630     0                 1920             
1676375707        0                 197               0                 51631008          55810175          0                 8                 4859812095681     1114754045382     0                 1920             
1676375717        0                 197               0                 51631363          55810530          0                 8                 4859812309738     1114754175678     0                 1920             
1676375727        0                 197               0                 51631820          55810986          0                 8                 4859812545057     1114754326006     0                 1920             
1676375738        0                 197               0                 51632176          55811341          0                 8                 4859812758246     1114754456302     0                 1920             
1676375748        0                 197               0                 51632630          55811795          0                 8                 4859812996345     1114754606246     0                 1920             
1676375758        0                 197               0                 51632985          55812150          0                 8                 4859813212762     1114754736542     0                 1920             
1676375769        0                 197               0                 51633335          55812500          0                 8                 4859813426697     1114754866518     0                 1920             
1676375779        0                 197               0                 51633794          55812960          0                 8                 4859813665766     1114755016974     0                 1920             
1676375789        0                 197               0                 51634145          55813310          0                 8                 4859813874737     1114755146950     0                 1920             
1676375800        0                 197               0                 51634604          55813769          0                 8                 4859814108618     1114755297214     0                 1920             
1676375810        0                 197               0                 51634955          55814119          0                 8                 4859814316721     1114755427190     0                 1920             
1676375820        0                 197               0                 51635311          55814474          0                 8                 4859814526438     1114755557486     0                 1920             
