#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1676375398 66131973 55714102 28464137 6876504 46926946 32965603 26998 111352 11011.94 13217.20 53122.14 51292.90
1676375408 66131973 55714102 28464137 6876504 46927564 32966274 26998 111352 10993.98 13209.86 53139.62 51299.68
1676375418 66131973 55714102 28464137 6876504 46927644 32966357 26998 111352 10989.45 13217.30 53143.68 51291.71
1676375429 66132013 55714108 28464137 6876504 46927718 32966634 26998 111352 10991.37 13021.73 53142.40 51488.21
1676375439 66132132 55714122 28464137 6876504 46927773 32966986 26998 111352 10990.34 12745.80 53141.96 51762.74
1676375449 66132132 55714122 28464137 6876504 46927830 32967147 26998 111352 10990.82 12659.97 53142.30 51848.53
1676375460 66132373 55714174 28464137 6876504 46928682 32967637 26998 111352 9703.17 12161.21 54458.55 52348.74
1676375470 66132629 55714224 28464137 6876504 46928771 32967744 26998 111352 8122.68 12146.10 56012.00 52363.33
1676375480 66132629 55714224 28464137 6876504 46928839 32967820 26998 111352 8118.04 12135.56 56016.77 52372.88
1676375490 66133091 55714320 28464137 6876504 46928895 32967916 26998 111352 8126.73 12124.50 56006.87 52384.08
1676375501 66134340 55715498 28464137 6876504 46928956 32968016 26998 111352 8104.50 12124.79 56028.62 52384.32
1676375511 66134596 55715754 28464137 6876504 46929022 32968106 26998 111352 8089.89 12122.69 56043.23 52385.91
1676375521 66134840 55715996 28464137 6876504 46929079 32968197 26998 111352 8087.94 12121.27 56045.74 52387.65
1676375532 66135373 55716380 28464137 6876504 46929154 32968276 26998 111352 8081.65 12112.46 56051.23 52395.86
1676375542 66135587 55716492 28464137 6876504 46929234 32968342 26998 111352 8072.59 12113.49 56061.73 52395.43
1676375552 66135713 55716540 28464137 6876504 46929311 32968462 26998 111352 8063.00 12063.79 56071.11 52444.76
1676375563 66135874 55716650 28464137 6876504 46929409 32968560 26998 111352 8051.54 12027.28 56082.15 52481.63
1676375573 66136005 55716674 28464137 6876504 46929470 32968666 26998 111352 8048.61 11995.61 56085.15 52513.30
1676375583 66136320 55716810 28464137 6876504 46929543 32968749 26998 111352 8051.49 11976.56 56082.27 52531.41
1676375594 66136320 55716810 28464137 6876504 46929604 32968819 26998 111352 8049.58 11976.91 56083.21 52531.55
1676375604 66136320 55716810 28464137 6876504 46929672 32968887 26998 111352 8054.64 11975.91 56078.48 52533.66
1676375614 66136403 55716836 28464137 6876504 46929725 32968976 26998 111352 8065.53 11965.61 56068.74 52542.93
1676375625 66136477 55716908 28464137 6876504 46929798 32969057 26998 111352 8083.11 11934.31 56050.49 52574.78
1676375635 66136623 55716954 28464137 6876504 46929871 32969165 26998 111352 8102.32 11890.57 56030.33 52619.45
1676375645 66137447 55717384 28464137 6876504 46930034 32969254 26998 111352 7982.25 11953.95 56150.46 52554.97
1676375655 66137447 55717384 28464137 6876504 46930084 32969340 26998 111352 7985.30 11955.39 56148.37 52554.21
1676375666 66137447 55717384 28464137 6876504 46930134 32969426 26998 111352 7984.11 11952.33 56149.18 52556.59
1676375676 66137447 55717384 28464137 6876504 46930195 32969499 26998 111352 7984.51 11956.10 56148.78 52553.36
1676375686 66137447 55717384 28464137 6876504 46930262 32969566 26998 111352 7981.51 11954.39 56152.57 52554.14
1676375697 66137447 55717384 28464137 6876504 46930315 32969648 26998 111352 7981.92 11954.93 56151.35 52554.47
1676375707 66137447 55717384 28464137 6876504 46930381 32969718 26998 111352 7983.20 11952.82 56151.03 52555.62
1676375717 66137447 55717384 28464137 6876504 46930442 32969793 26998 111352 7984.23 11954.61 56149.56 52554.32
1676375728 66137447 55717384 28464137 6876504 46930495 32969871 26998 111352 7985.03 11953.14 56149.73 52555.77
1676375738 66137447 55717384 28464137 6876504 46930546 32969958 26998 111352 7985.36 11952.57 56148.24 52556.40
