TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1676375397        5079778          247909635147      12855053558      1633324           74753064249      6947008360        2904043          750218523532      1895385002852    189845            0                0                 379633           134217728         0                
1676375408        5082779          247910695564      12855066040      1633324           74753064249      6947008360        2904044          750218523532      1895385002852    189845            0                0                 379633           134217728         0                
1676375418        5083262          247910877998      12855203864      1633324           74753064249      6947008360        2904045          750218523532      1895385002852    189845            0                0                 379633           134217728         0                
1676375428        5085623          247919978515      12855221923      1633324           74753064249      6947008360        2904046          750218523532      1895385002852    189845            0                0                 379633           134217728         0                
1676375438        5089139          247937200327      12855239983      1633324           74753064249      6947008360        2904047          750218523532      1895385002852    189845            0                0                 379633           134217728         0                
1676375449        5093742          247946466713      12855258044      1633328           74753064249      6947008360        2904049          750218523532      1895385002852    189847            0                0                 379637           134217728         0                
1676375459        5096731          247955161225      12855291514      1633328           74753064249      6947008360        2904050          750218523532      1895385002852    189847            0                0                 379637           134217728         0                
1676375469        5097080          247955336831      12855309592      1633332           74753064249      6947008360        2904052          750218523532      1895385002852    189849            0                0                 379641           134217728         0                
1676375480        5097405          247955369765      12855327671      1633332           74753064249      6947008360        2904053          750218523532      1895385002852    189849            0                0                 379641           134217728         0                
1676375490        5097731          247955402699      12855345750      1633336           74753064249      6947008360        2904055          750218523532      1895385002852    189851            0                0                 379645           134217728         0                
1676375500        5098056          247955435639      12855363832      1633336           74753064249      6947008360        2904056          750218523532      1895385002852    189851            0                0                 379645           134217728         0                
1676375511        5098381          247955468581      12855381915      1633336           74753064249      6947008360        2904057          750218523532      1895385002852    189851            0                0                 379645           134217728         0                
1676375521        5098707          247955501523      12855399999      1633340           74753064249      6947008360        2904059          750218523532      1895385002852    189853            0                0                 379649           134217728         0                
1676375531        5099031          247955534463      12855418081      1633340           74753064249      6947008360        2904060          750218523532      1895385002852    189853            0                0                 379649           134217728         0                
1676375541        5099359          247955567405      12855436164      1633344           74753064249      6947008360        2904062          750218523532      1895385002852    189855            0                0                 379653           134217728         0                
1676375552        5099684          247955600347      12855454247      1633344           74753064249      6947008360        2904063          750218523532      1895385002852    189855            0                0                 379653           134217728         0                
1676375562        5100007          247955633289      12855472330      1633344           74753064249      6947008360        2904064          750218523532      1895385002852    189855            0                0                 379653           134217728         0                
1676375572        5100338          247955909018      12855490414      1633348           74753064249      6947008360        2904066          750218523532      1895385002852    189857            0                0                 379657           134217728         0                
1676375583        5100666          247956116868      12855508497      1633348           74753064249      6947008360        2904066          750218523532      1895385002852    189857            0                0                 379657           134217728         0                
