#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676375397        3.355390          3.355390          0.086758          0.086758          0.000000          22.757600         0.086758         
1676375407        4.280320          4.280320          0.118465          0.118465          0.000000          22.750000         0.118465         
1676375417        4.630860          4.630860          0.144535          0.144535          0.000000          22.740800         0.144535         
1676375428        6.062010          6.062010          0.307060          0.307060          0.000000          22.544400         0.307060         
1676375438        6.170640          6.170640          0.377934          0.377934          0.000000          22.240800         0.377934         
1676375448        6.281950          6.281950          0.410229          0.410229          0.000000          22.129300         0.410229         
1676375459        41.302900         41.302900         1.784060          1.784060          0.000000          20.668300         1.784060         
1676375469        102.299000        102.299000        3.629880          3.629880          0.000000          18.787700         3.629880         
1676375484        102.395000        102.395000        3.645520          3.645520          0.000000          18.786100         3.645520         
1676375501        102.516000        102.516000        3.678150          3.678150          0.000000          18.762200         3.678150         
1676375519        102.607000        102.607000        3.691680          3.691680          0.000000          18.748800         3.691680         
1676375539        102.694000        102.694000        3.702790          3.702790          0.000000          18.739400         3.702790         
1676375561        102.833000        102.833000        3.796730          3.796730          0.000000          18.642000         3.796730         
1676375582        102.935000        102.935000        3.815710          3.815710          0.000000          18.612800         3.815710         
1676375606        103.125000        103.125000        3.830300          3.830300          0.000000          18.601400         3.830300         
1676375638        103.568000        103.568000        3.858860          3.858860          0.000000          18.566200         3.858860         
1676375665        103.570000        103.570000        3.866350          3.866350          0.000000          18.553200         3.866350         
1676375692        103.573000        103.573000        3.873490          3.873490          0.000000          18.552800         3.873490         
1676375724        103.575000        103.575000        3.882850          3.882850          0.000000          18.540300         3.882850         
1676375753        103.577000        103.577000        3.890970          3.890970          0.000000          18.531500         3.890970         
1676375783        103.579000        103.579000        3.897710          3.897710          0.000000          18.526100         3.897710         
1676375812        103.582000        103.582000        3.902980          3.902980          0.000000          18.518700         3.902980         
1676375844        103.584000        103.584000        3.905490          3.905490          0.000000          18.508900         3.905490         
1676375866        103.586000        103.586000        3.907300          3.907300          0.000000          18.517700         3.907300         
1676375901        103.594000        103.594000        3.915720          3.915720          0.000000          18.482700         3.915720         
1676375932        103.605000        103.605000        3.926200          3.926200          0.000000          18.507100         3.926200         
1676375963        103.612000        103.612000        3.931270          3.931270          0.000000          18.501700         3.931270         
1676375993        103.613000        103.613000        3.932340          3.932340          0.000000          18.500800         3.932340         
1676376023        103.697000        103.697000        4.019560          4.019560          0.000000          18.414800         4.019560         
1676376056        103.699000        103.699000        4.028020          4.028020          0.000000          18.405500         4.028020         
1676376089        103.702000        103.702000        4.037860          4.037860          0.000000          18.388400         4.037860         
1676376116        103.706000        103.706000        4.049050          4.049050          0.000000          18.366800         4.049050         
1676376141        103.708000        103.708000        4.056540          4.056540          0.000000          18.354400         4.056540         
1676376166        103.710000        103.710000        4.064810          4.064810          0.000000          18.347100         4.064810         
1676376198        103.713000        103.713000        4.073490          4.073490          0.000000          18.333500         4.073490         
1676376224        103.715000        103.715000        4.076720          4.076720          0.000000          18.334200         4.076720         
1676376249        103.717000        103.717000        4.079120          4.079120          0.000000          18.327800         4.079120         
1676376274        103.720000        103.720000        4.081460          4.081460          0.000000          18.332300         4.081460         
1676376306        103.721000        103.721000        4.083040          4.083040          0.000000          18.330600         4.083040         
1676376336        103.723000        103.723000        4.083040          4.019230          0.000000          18.737700         4.083040         
1676376362        103.724000        103.724000        4.083040          4.013180          0.000000          18.834500         4.083040         
1676376390        103.724000        103.724000        4.083040          4.013400          0.000000          18.842600         4.083040         
1676376425        103.802000        103.802000        4.091310          4.091310          0.000000          18.764900         4.091310         
1676376455        103.918000        103.918000        4.206830          4.206830          0.000000          18.652900         4.206830         
1676376487        103.922000        103.922000        4.206830          4.200510          0.000000          18.697900         4.206830         
1676376520        103.942000        103.942000        4.221100          4.221100          0.000000          18.673700         4.221100         
1676376554        103.949000        103.949000        4.228400          4.228400          0.000000          18.668100         4.228400         
1676376583        103.949000        103.930000        4.228400          4.209940          0.000000          18.672600         4.228400         
1676376606        103.949000        103.939000        4.228400          4.218180          0.000000          18.643000         4.228400         
1676376630        103.949000        103.943000        4.228400          4.222900          0.000000          18.670000         4.228400         
1676376663        103.949000        103.943000        4.228400          4.223090          0.000000          18.661800         4.228400         
1676376688        103.949000        103.943000        4.228400          4.223660          0.000000          18.651600         4.228400         
1676376713        107.078000        107.078000        6.791380          6.791380          0.000000          15.889400         6.791380         
1676376744        109.451000        109.451000        9.046430          9.046430          0.000000          13.773800         9.046430         
1676376773        109.451000        108.393000        10.203900         10.203900         0.000000          12.575800         10.203900        
