#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1676375398        0.750957          0.750957          0.018681          0.018681          0.000000          20.601500         0.018681         
1676375408        0.828434          0.828434          0.031353          0.031353          0.000000          20.580900         0.031353         
1676375418        1.124390          1.124390          0.053108          0.053108          0.000000          20.576100         0.053108         
1676375429        2.189160          2.189160          0.200958          0.200958          0.000000          20.388800         0.200958         
1676375439        2.287800          2.287800          0.261894          0.261894          0.000000          20.113500         0.261894         
1676375449        2.395500          2.395500          0.294296          0.294296          0.000000          20.034900         0.294296         
1676375460        52.107200         52.107200         2.128280          2.128280          0.000000          18.105200         2.128280         
1676375470        98.271600         98.271600         3.504440          3.504440          0.000000          16.734700         3.504440         
1676375480        98.276300         98.276300         3.513050          3.513050          0.000000          16.725400         3.513050         
1676375491        98.280800         98.280800         3.520850          3.520850          0.000000          16.717000         3.520850         
1676375501        98.286900         98.286900         3.538990          3.538990          0.000000          16.697000         3.538990         
1676375511        98.290900         98.290900         3.548500          3.548500          0.000000          16.689100         3.548500         
1676375521        98.292300         98.292300         3.559590          3.559590          0.000000          16.678100         3.559590         
1676375532        98.294600         98.294600         3.569090          3.569090          0.000000          16.667800         3.569090         
1676375542        98.296200         98.296200         3.574070          3.574070          0.000000          16.661900         3.574070         
1676375552        98.336100         98.336100         3.642830          3.642830          0.000000          16.594000         3.642830         
1676375563        98.341000         98.341000         3.679580          3.679580          0.000000          16.555700         3.679580         
1676375573        98.378800         98.378800         3.705590          3.705590          0.000000          16.532500         3.705590         
1676375583        98.390900         98.390900         3.720750          3.720750          0.000000          16.511300         3.720750         
1676375594        98.390900         98.390900         3.720750          3.720750          0.000000          16.510700         3.720750         
1676375604        98.390900         98.390900         3.720780          3.720780          0.000000          16.509000         3.720780         
1676375614        98.390900         98.390900         3.728440          3.728440          0.000000          16.503400         3.728440         
1676375624        98.390900         98.390900         3.741520          3.741520          0.000000          16.493400         3.741520         
1676375635        98.396500         98.396500         3.771430          3.771430          0.000000          16.460600         3.771430         
1676375645        98.436200         98.436200         3.835000          3.835000          0.000000          16.397800         3.835000         
1676375655        98.436200         98.436200         3.835010          3.835010          0.000000          16.395000         3.835010         
1676375666        98.436200         98.436200         3.835010          3.835010          0.000000          16.395200         3.835010         
1676375676        98.436200         98.436200         3.835010          3.835010          0.000000          16.394000         3.835010         
1676375686        98.436200         98.436200         3.835020          3.835020          0.000000          16.394200         3.835020         
1676375697        98.436200         98.436200         3.835020          3.835020          0.000000          16.393800         3.835020         
1676375707        98.436200         98.436200         3.835020          3.835020          0.000000          16.393500         3.835020         
1676375718        98.436200         98.436200         3.835020          3.835020          0.000000          16.393400         3.835020         
1676375728        98.436200         98.436200         3.835020          3.835020          0.000000          16.394500         3.835020         
1676375738        98.436200         98.436200         3.835020          3.835020          0.000000          16.394900         3.835020         
1676375749        98.436200         98.436200         3.835020          3.835020          0.000000          16.394500         3.835020         
1676375759        98.436200         98.436200         3.835020          3.835020          0.000000          16.394200         3.835020         
1676375769        98.436200         98.436200         3.835020          3.835020          0.000000          16.394900         3.835020         
1676375780        98.436200         98.436200         3.835020          3.835020          0.000000          16.396400         3.835020         
1676375790        98.436200         98.436200         3.835020          3.835020          0.000000          16.395400         3.835020         
1676375800        98.436200         98.436200         3.835020          3.835020          0.000000          16.395600         3.835020         
1676375811        98.436200         98.436200         3.835020          3.835020          0.000000          16.394900         3.835020         
1676375821        98.436200         98.436200         3.835020          3.835020          0.000000          16.393700         3.835020         
1676375831        98.436200         98.436200         3.835020          3.835020          0.000000          16.395900         3.835020         
1676375842        98.436200         98.436200         3.835030          3.835030          0.000000          16.396400         3.835030         
1676375852        98.436200         98.436200         3.835030          3.835030          0.000000          16.393400         3.835030         
1676375862        98.436200         98.436200         3.835030          3.835030          0.000000          16.395900         3.835030         
1676375873        98.436200         98.436200         3.835030          3.835030          0.000000          16.396500         3.835030         
1676375883        98.436200         98.436200         3.835030          3.835030          0.000000          16.396000         3.835030         
1676375893        98.436200         98.436200         3.835030          3.835030          0.000000          16.396400         3.835030         
1676375903        98.436200         98.436200         3.835030          3.835030          0.000000          16.396600         3.835030         
1676375914        98.436200         98.436200         3.835030          3.835030          0.000000          16.394400         3.835030         
1676375924        98.436200         98.436200         3.835030          3.835030          0.000000          16.394600         3.835030         
1676375934        98.436200         98.436200         3.835030          3.835030          0.000000          16.395900         3.835030         
1676375945        98.436200         98.436200         3.835030          3.835030          0.000000          16.396100         3.835030         
1676375955        98.530200         98.530200         3.937910          3.937910          0.000000          16.294500         3.937910         
