TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1676375397        5012009          245171535976      14977572500      2993925           83774195309      7686953294        2026655          256109986467      166636249093     189849            0                0                 379644           83886080          0                
1676375407        5015028          245172590958      14977587478      2993925           83774195309      7686953294        2026656          256109986467      166636249093     189849            0                0                 379644           83886080          0                
1676375418        5015527          245172783991      14977725388      2993925           83774195309      7686953294        2026657          256109986467      166636249093     189849            0                0                 379644           83886080          0                
1676375428        5017866          245181240339      14977743484      2993925           83774195309      7686953294        2026658          256109986467      166636249093     189849            0                0                 379644           83886080          0                
1676375438        5021409          245199104806      14977761582      2993925           83774195309      7686953294        2026659          256109986467      166636249093     189849            0                0                 379644           83886080          0                
1676375449        5026012          245208372100      14977779681      2993929           83774195309      7686953294        2026661          256109986467      166636249093     189851            0                0                 379648           83886080          0                
1676375459        5029004          245217067518      14977813188      2993929           83774195309      7686953294        2026663          256109986467      166636249093     189851            0                0                 379648           83886080          0                
1676375469        5029353          245217243198      14977831303      2993933           83774195309      7686953294        2026665          256109986467      166636249093     189853            0                0                 379652           83886080          0                
1676375480        5029678          245217276206      14977849419      2993933           83774195309      7686953294        2026666          256109986467      166636249093     189853            0                0                 379652           83886080          0                
1676375490        5030003          245217309216      14977867536      2993933           83774195309      7686953294        2026667          256109986467      166636249093     189853            0                0                 379652           83886080          0                
1676375500        5030329          245217342230      14977885655      2993937           83774195309      7686953294        2026669          256109986467      166636249093     189855            0                0                 379656           83886080          0                
1676375510        5030654          245217375244      14977903774      2993937           83774195309      7686953294        2026670          256109986467      166636249093     189855            0                0                 379656           83886080          0                
1676375521        5030981          245217408260      14977921894      2993941           83774195309      7686953294        2026672          256109986467      166636249093     189857            0                0                 379660           83886080          0                
1676375531        5031306          245217441276      14977940014      2993941           83774195309      7686953294        2026673          256109986467      166636249093     189857            0                0                 379660           83886080          0                
1676375541        5031631          245217474292      14977958134      2993941           83774195309      7686953294        2026674          256109986467      166636249093     189857            0                0                 379660           83886080          0                
1676375552        5031957          245217507308      14977976254      2993945           83774195309      7686953294        2026676          256109986467      166636249093     189859            0                0                 379664           83886080          0                
1676375562        5032282          245217540324      14977994374      2993945           83774195309      7686953294        2026677          256109986467      166636249093     189859            0                0                 379664           83886080          0                
1676375572        5032612          245217816127      14978012496      2993949           83774195309      7686953294        2026678          256109986467      166636249093     189861            0                0                 379668           83886080          0                
1676375583        5032940          245218024051      14978030616      2993949           83774195309      7686953294        2026678          256109986467      166636249093     189861            0                0                 379668           83886080          0                
1676375593        5033265          245218057067      14978048736      2993949           83774195309      7686953294        2026678          256109986467      166636249093     189861            0                0                 379668           83886080          0                
1676375603        5033591          245218090083      14978066856      2993953           83774195309      7686953294        2026680          256109986467      166636249093     189863            0                0                 379672           83886080          0                
1676375614        5033916          245218123099      14978084976      2993953           83774195309      7686953294        2026680          256109986467      166636249093     189863            0                0                 379672           83886080          0                
1676375624        5034242          245218156115      14978103096      2993957           83774195309      7686953294        2026682          256109986467      166636249093     189865            0                0                 379676           83886080          0                
1676375634        5034567          245218189131      14978121217      2993957           83774195309      7686953294        2026682          256109986467      166636249093     189865            0                0                 379676           83886080          0                
1676375645        5034893          245218222147      14978139337      2993961           83774195309      7686953294        2026684          256109986467      166636249093     189867            0                0                 379680           83886080          0                
1676375655        5035218          245218255163      14978157457      2993961           83774195309      7686953294        2026684          256109986467      166636249093     189867            0                0                 379680           83886080          0                
1676375665        5035543          245218288179      14978175577      2993961           83774195309      7686953294        2026684          256109986467      166636249093     189867            0                0                 379680           83886080          0                
1676375676        5035869          245218321195      14978193697      2993965           83774195309      7686953294        2026686          256109986467      166636249093     189869            0                0                 379684           83886080          0                
1676375686        5036194          245218354211      14978211817      2993965           83774195309      7686953294        2026686          256109986467      166636249093     189869            0                0                 379684           83886080          0                
1676375696        5036521          245218387227      14978229937      2993969           83774195309      7686953294        2026688          256109986467      166636249093     189871            0                0                 379688           83886080          0                
1676375706        5036846          245218420243      14978248057      2993969           83774195309      7686953294        2026688          256109986467      166636249093     189871            0                0                 379688           83886080          0                
1676375717        5037171          245218453259      14978266177      2993969           83774195309      7686953294        2026688          256109986467      166636249093     189871            0                0                 379688           83886080          0                
1676375727        5037497          245218486275      14978284297      2993973           83774195309      7686953294        2026690          256109986467      166636249093     189873            0                0                 379692           83886080          0                
1676375737        5037822          245218519291      14978302417      2993973           83774195309      7686953294        2026690          256109986467      166636249093     189873            0                0                 379692           83886080          0                
1676375748        5038148          245218552307      14978320537      2993977           83774195309      7686953294        2026692          256109986467      166636249093     189875            0                0                 379696           83886080          0                
1676375758        5038473          245218585323      14978338657      2993977           83774195309      7686953294        2026692          256109986467      166636249093     189875            0                0                 379696           83886080          0                
1676375768        5038798          245218618339      14978356777      2993977           83774195309      7686953294        2026692          256109986467      166636249093     189875            0                0                 379696           83886080          0                
1676375779        5039124          245218651355      14978374897      2993981           83774195309      7686953294        2026694          256109986467      166636249093     189877            0                0                 379700           83886080          0                
1676375789        5039449          245218684371      14978393017      2993981           83774195309      7686953294        2026694          256109986467      166636249093     189877            0                0                 379700           83886080          0                
1676375799        5039775          245218717387      14978411137      2993985           83774195309      7686953294        2026696          256109986467      166636249093     189879            0                0                 379704           83886080          0                
1676375810        5040100          245218750403      14978429257      2993985           83774195309      7686953294        2026696          256109986467      166636249093     189879            0                0                 379704           83886080          0                
1676375820        5040426          245218783419      14978447377      2993989           83774195309      7686953294        2026698          256109986467      166636249093     189881            0                0                 379708           83886080          0                
1676375830        5040751          245218816435      14978465497      2993989           83774195309      7686953294        2026698          256109986467      166636249093     189881            0                0                 379708           83886080          0                
1676375841        5041076          245218849451      14978483617      2993989           83774195309      7686953294        2026698          256109986467      166636249093     189881            0                0                 379708           83886080          0                
1676375851        5041402          245218882467      14978501737      2993993           83774195309      7686953294        2026700          256109986467      166636249093     189883            0                0                 379712           83886080          0                
1676375861        5041727          245218915483      14978519857      2993993           83774195309      7686953294        2026700          256109986467      166636249093     189883            0                0                 379712           83886080          0                
1676375871        5042054          245218948499      14978537977      2993997           83774195309      7686953294        2026702          256109986467      166636249093     189885            0                0                 379716           83886080          0                
1676375882        5042379          245218981515      14978556097      2993997           83774195309      7686953294        2026702          256109986467      166636249093     189885            0                0                 379716           83886080          0                
1676375892        5042704          245219014531      14978574217      2993997           83774195309      7686953294        2026702          256109986467      166636249093     189885            0                0                 379716           83886080          0                
1676375902        5043030          245219047549      14978592338      2994001           83774195309      7686953294        2026704          256109986467      166636249093     189887            0                0                 379720           83886080          0                
1676375913        5043355          245219080567      14978610459      2994001           83774195309      7686953294        2026704          256109986467      166636249093     189887            0                0                 379720           83886080          0                
1676375923        5043681          245219113585      14978628580      2994005           83774195309      7686953294        2026706          256109986467      166636249093     189889            0                0                 379724           83886080          0                
1676375933        5044006          245219146603      14978646701      2994005           83774195309      7686953294        2026706          256109986467      166636249093     189889            0                0                 379724           83886080          0                
1676375944        5044331          245219179621      14978664822      2994005           83774195309      7686953294        2026706          256109986467      166636249093     189889            0                0                 379724           83886080          0                
1676375954        5044657          245219212639      14978682944      2994009           83774195309      7686953294        2026708          256109986467      166636249093     189891            0                0                 379728           83886080          0                
1676375964        5044981          245219245653      14978701064      2994009           83774195309      7686953294        2026708          256109986467      166636249093     189891            0                0                 379728           83886080          0                
1676375975        5045308          245219278671      14978719185      2994013           83774195309      7686953294        2026710          256109986467      166636249093     189893            0                0                 379732           83886080          0                
1676375985        5045655          245219311817      14978737305      2994013           83774195309      7686953294        2026710          256109986467      166636249093     189893            0                0                 379732           83886080          0                
1676375995        5045982          245219344835      14978755425      2994017           83774195309      7686953294        2026712          256109986467      166636249093     189895            0                0                 379736           83886080          0                
1676376006        5046307          245219377853      14978773545      2994017           83774195309      7686953294        2026712          256109986467      166636249093     189895            0                0                 379736           83886080          0                
1676376016        5046632          245219410871      14978791665      2994017           83774195309      7686953294        2026712          256109986467      166636249093     189895            0                0                 379736           83886080          0                
1676376026        5046958          245219443891      14978809786      2994021           83774195309      7686953294        2026714          256109986467      166636249093     189897            0                0                 379740           83886080          0                
1676376037        5047283          245219476911      14978827907      2994021           83774195309      7686953294        2026714          256109986467      166636249093     189897            0                0                 379740           83886080          0                
1676376047        5047609          245219509931      14978846028      2994025           83774195309      7686953294        2026716          256109986467      166636249093     189899            0                0                 379744           83886080          0                
1676376057        5047934          245219542951      14978864149      2994025           83774195309      7686953294        2026716          256109986467      166636249093     189899            0                0                 379744           83886080          0                
1676376068        5048259          245219575971      14978882270      2994025           83774195309      7686953294        2026716          256109986467      166636249093     189899            0                0                 379744           83886080          0                
1676376078        5048585          245219608991      14978900391      2994029           83774195309      7686953294        2026718          256109986467      166636249093     189901            0                0                 379748           83886080          0                
