#TIME             gpu_0_avail_GB    gpu_0_used_GB     gpu_1_avail_GB    gpu_1_used_GB     gpu_2_avail_GB    gpu_2_used_GB     gpu_3_avail_GB    gpu_3_used_GB     
1676375397        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375407        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375418        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375428        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375438        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375449        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375459        15.833            0.292             15.833            0.292             15.833            0.292             15.833            0.292             
1676375473        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375490        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375508        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375527        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375548        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375569        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375593        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375623        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375652        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375676        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375709        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375739        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375771        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375798        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375827        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375854        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375886        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375915        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375950        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375981        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376009        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376038        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376073        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376100        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376129        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376154        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376185        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376211        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376237        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376262        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376290        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376324        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376348        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376375        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376411        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376443        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376472        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376506        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376541        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376570        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376593        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376617        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376648        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376674        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376700        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676376728        1.045             15.080            1.047             15.078            1.047             15.078            1.045             15.080            
1676376757        1.041             15.084            1.035             15.090            1.041             15.084            1.041             15.084            
1676376783        1.041             15.084            0.809             15.316            0.929             15.196            1.041             15.084            
