TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1676375397        5546262          188244607670      23207451472      6383695           78325887420      17597472667       8725489          3323196717648     1917592526042    189857            0                0                 379658           134217728         0                
1676375407        5549105          188245630689      23207499311      6383695           78325887420      17597472667       8725499          3323196717648     1917592526042    189857            0                0                 379658           134217728         0                
1676375418        5549832          188246137497      23207673098      6383695           78325887420      17597472667       8725500          3323196717648     1917592526042    189857            0                0                 379658           134217728         0                
1676375428        5552223          188252940860      23207726680      6383695           78325887420      17597472667       8725501          3323196717648     1917592526042    189857            0                0                 379658           134217728         0                
1676375438        5555873          188272599416      23207780264      6383695           78325887420      17597472667       8725502          3323196717648     1917592526042    189857            0                0                 379658           134217728         0                
1676375449        5560564          188281938514      23207833851      6383699           78325887420      17597472667       8725504          3323196717648     1917592526042    189859            0                0                 379662           134217728         0                
1676375459        5563636          188290704906      23207902847      6383699           78325887420      17597472667       8725505          3323196717648     1917592526042    189859            0                0                 379662           134217728         0                
1676375472        5564062          188290951560      23207956485      6383703           78325887420      17597472667       8725508          3323196717648     1917592526042    189861            0                0                 379666           134217728         0                
1676375488        5564471          188291055550      23208010128      6383703           78325887420      17597472667       8725509          3323196717648     1917592526042    189861            0                0                 379666           134217728         0                
1676375506        5564881          188291159550      23208063776      6383707           78325887420      17597472667       8725512          3323196717648     1917592526042    189863            0                0                 379670           134217728         0                
1676375525        5565293          188291263554      23208117426      6383711           78325887420      17597472667       8725515          3323196717648     1917592526042    189865            0                0                 379674           134217728         0                
1676375546        5565701          188291367560      23208171076      6383715           78325887420      17597472667       8725518          3323196717648     1917592526042    189867            0                0                 379678           134217728         0                
1676375566        5566111          188291471568      23208224727      6383719           78325887420      17597472667       8725521          3323196717648     1917592526042    189869            0                0                 379682           134217728         0                
1676375590        5566535          188291993273      23208278380      6383723           78325887420      17597472667       8725523          3323196717648     1917592526042    189871            0                0                 379686           134217728         0                
1676375618        5566938          188292097285      23208332033      6383727           78325887420      17597472667       8725525          3323196717648     1917592526042    189873            0                0                 379690           134217728         0                
1676375649        5567348          188292201297      23208385686      6383731           78325887420      17597472667       8725527          3323196717648     1917592526042    189875            0                0                 379694           134217728         0                
1676375673        5567766          188292305309      23208439339      6383735           78325887420      17597472667       8725529          3323196717648     1917592526042    189877            0                0                 379698           134217728         0                
1676375704        5568173          188292409321      23208492992      6383739           78325887420      17597472667       8725531          3323196717648     1917592526042    189879            0                0                 379702           134217728         0                
1676375735        5568579          188292513331      23208546644      6383743           78325887420      17597472667       8725533          3323196717648     1917592526042    189881            0                0                 379706           134217728         0                
1676375766        5568990          188292617343      23208600297      6383751           78325887420      17597472667       8725537          3323196717648     1917592526042    189885            0                0                 379714           134217728         0                
1676375795        5569406          188292721355      23208653950      6383755           78325887420      17597472667       8725539          3323196717648     1917592526042    189887            0                0                 379718           134217728         0                
1676375822        5569810          188292825365      23208707602      6383759           78325887420      17597472667       8725541          3323196717648     1917592526042    189889            0                0                 379722           134217728         0                
1676375851        5570228          188292929377      23208761255      6383763           78325887420      17597472667       8725543          3323196717648     1917592526042    189891            0                0                 379726           134217728         0                
1676375881        5570631          188293033389      23208814908      6383767           78325887420      17597472667       8725545          3323196717648     1917592526042    189893            0                0                 379730           134217728         0                
1676375910        5571048          188293137401      23208868561      6383771           78325887420      17597472667       8725547          3323196717648     1917592526042    189895            0                0                 379734           134217728         0                
1676375946        5571456          188293241413      23208922214      6383779           78325887420      17597472667       8725551          3323196717648     1917592526042    189899            0                0                 379742           134217728         0                
1676375976        5571868          188293345425      23208975867      6383783           78325887420      17597472667       8725553          3323196717648     1917592526042    189901            0                0                 379746           134217728         0                
1676376006        5572272          188293449437      23209029520      6383787           78325887420      17597472667       8725555          3323196717648     1917592526042    189903            0                0                 379750           134217728         0                
1676376034        5572690          188293553451      23209083174      6383791           78325887420      17597472667       8725557          3323196717648     1917592526042    189905            0                0                 379754           134217728         0                
1676376070        5573093          188293657465      23209136828      6383799           78325887420      17597472667       8725561          3323196717648     1917592526042    189909            0                0                 379762           134217728         0                
1676376098        5573507          188293761479      23209190482      6383803           78325887420      17597472667       8725563          3323196717648     1917592526042    189911            0                0                 379766           134217728         0                
1676376126        5573921          188293865493      23209244136      6383807           78325887420      17597472667       8725565          3323196717648     1917592526042    189913            0                0                 379770           134217728         0                
1676376149        5574323          188293969507      23209297790      6383811           78325887420      17597472667       8725567          3323196717648     1917592526042    189915            0                0                 379774           134217728         0                
1676376180        5574733          188294073521      23209351444      6383815           78325887420      17597472667       8725569          3323196717648     1917592526042    189917            0                0                 379778           134217728         0                
1676376208        5575143          188294177535      23209405098      6383819           78325887420      17597472667       8725571          3323196717648     1917592526042    189919            0                0                 379782           134217728         0                
1676376232        5575553          188294281547      23209458751      6383823           78325887420      17597472667       8725573          3323196717648     1917592526042    189921            0                0                 379786           134217728         0                
1676376259        5575971          188294385559      23209512404      6383827           78325887420      17597472667       8725575          3323196717648     1917592526042    189923            0                0                 379790           134217728         0                
1676376286        5576375          188294489571      23209566057      6383831           78325887420      17597472667       8725577          3323196717648     1917592526042    189925            0                0                 379794           134217728         0                
1676376321        5576786          188294593583      23209619710      6383839           78325887420      17597472667       8725581          3323196717648     1917592526042    189929            0                0                 379802           134217728         0                
1676376344        5577200          188294697599      23209673365      6383843           78325887420      17597472667       8725583          3323196717648     1917592526042    189931            0                0                 379806           134217728         0                
1676376372        5577611          188294801617      23209727021      6383847           78325887420      17597472667       8725585          3323196717648     1917592526042    189933            0                0                 379810           134217728         0                
1676376406        5578014          188294905635      23209780677      6383851           78325887420      17597472667       8725587          3323196717648     1917592526042    189935            0                0                 379814           134217728         0                
1676376438        5578424          188295009655      23209834334      6383855           78325887420      17597472667       8725589          3323196717648     1917592526042    189939            0                0                 379822           134217728         0                
1676376468        5578841          188295113675      23209887991      6383863           78325887420      17597472667       8725593          3323196717648     1917592526042    189941            0                0                 379826           134217728         0                
1676376501        5579245          188295217695      23209941648      6383867           78325887420      17597472667       8725595          3323196717648     1917592526042    189943            0                0                 379830           134217728         0                
1676376535        5579655          188295321715      23209995305      6383871           78325887420      17597472667       8725597          3323196717648     1917592526042    189945            0                0                 379838           134217728         0                
1676376564        5580065          188295425735      23210048962      6383879           78325887420      17597472667       8725602          3323196717648     1917592526042    189949            0                0                 379842           134217728         0                
1676376590        5580476          188295529757      23210102620      6383883           78325887420      17597472667       8725604          3323196717648     1917592526042    189951            0                0                 379846           134217728         0                
1676376613        5580885          188295633779      23210156278      6383883           78325887420      17597472667       8725604          3323196717648     1917592526042    189953            0                0                 379850           134217728         0                
1676376644        5581300          188295737801      23210209936      6383891           78325887420      17597472667       8725608          3323196717648     1917592526042    189955            0                0                 379854           134217728         0                
1676376672        5581712          188295841823      23210263595      6383895           78325887420      17597472667       8725610          3323196717648     1917592526042    189957            0                0                 379858           134217728         0                
1676376697        5582122          188295945847      23210317254      6383899           78325887420      17597472667       8725612          3323196717648     1917592526042    189959            0                0                 379862           134217728         0                
1676376724        5582527          188296049873      23210370913      6383903           78325887420      17597472667       8725614          3323196717648     1917592526042    189961            0                0                 379866           134217728         0                
1676376751        5582963          188296153899      23210424572      6383907           78325887420      17597472667       8725616          3323196717648     1917592526042    189963            0                0                 379870           134217728         0                
1676376780        5583303          188296202155      23210450346      6383911           78325887420      17597472667       8725618          3323196717648     1917592526042    189965            0                0                 379874           134217728         0                
